date,Discharge(W),Charge(W),Production(W),Consumption(W),Feed-in(W),From grid(W),State of Charge(%)
2020-06-13 0:0:00,2.37,0.0,0.0,2.77,0.0,0.4,41.0
2020-06-13 0:15:00,22.690000000000005,0.0,0.0,29.699999999999996,0.0,7.010000000000001,41.0
2020-06-13 0:30:00,104.71000000000001,0.0,0.0,119.59,0.0,14.879999999999997,40.0
2020-06-13 0:45:00,371.3,0.0,0.0,384.12999999999994,0.0,16.17,39.0
2020-06-13 1:0:00,424.6499999999999,0.0,0.0,422.69,0.0,6.529999999999999,34.0
2020-06-13 1:15:00,35.379999999999995,0.0,0.0,51.74999999999999,0.0,16.37,29.0
2020-06-13 1:30:00,79.81,0.0,0.0,98.92,0.0,19.110000000000003,29.0
2020-06-13 1:45:00,129.7,0.0,0.0,147.07999999999998,0.0,17.38,28.0
2020-06-13 2:0:00,396.30999999999995,0.0,0.0,407.0300000000001,0.0,14.209999999999999,26.0
2020-06-13 2:15:00,76.87,0.0,0.0,83.71000000000001,0.0,6.84,22.0
2020-06-13 2:30:00,36.709999999999994,0.0,0.0,44.36,0.0,7.6499999999999995,20.0
2020-06-13 2:45:00,29.180000000000003,0.0,0.0,36.89,0.0,7.709999999999999,19.0
2020-06-13 3:0:00,31.679999999999993,0.0,0.0,39.089999999999996,0.0,7.409999999999999,19.0
2020-06-13 3:15:00,44.949999999999996,0.0,0.0,55.599999999999994,0.0,10.65,18.0
2020-06-13 3:30:00,341.03000000000003,0.0,0.0,340.83500000000004,0.0,8.755,18.0
2020-06-13 3:45:00,254.59000000000003,0.0,0.0,249.61,0.0,5.84,13.0
2020-06-13 4:0:00,11.43,0.0,0.0,19.32,0.0,7.890000000000001,11.0
2020-06-13 4:15:00,10.35,0.96,0.0,30.129999999999995,0.0,20.74,11.0
2020-06-13 4:30:00,0.0,1.8100000000000005,0.0,28.349999999999994,0.0,30.159999999999997,10.0
2020-06-13 4:45:00,0.0,1.8100000000000005,0.0,32.65,0.0,34.46,10.0
2020-06-13 5:0:00,0.0,1.8400000000000007,0.0,27.67,0.0,29.509999999999994,10.0
2020-06-13 5:15:00,0.0,1.8699999999999997,0.0,27.509999999999998,0.0,29.380000000000003,10.0
2020-06-13 5:30:00,0.0,1.9099999999999997,0.0,10.99,0.0,12.9,10.0
2020-06-13 5:45:00,0.0,1.9499999999999993,0.0,11.940000000000001,0.0,13.89,10.0
2020-06-13 6:0:00,0.0,1.9499999999999993,0.0,17.060000000000002,0.0,19.009999999999994,10.0
2020-06-13 6:15:00,0.0,1.9499999999999993,1.17,28.010000000000005,0.0,28.79,10.0
2020-06-13 6:30:00,0.0,1.9499999999999993,6.630000000000001,32.04,0.0,27.36,10.0
2020-06-13 6:45:00,0.0,1.9499999999999993,11.59,86.67,0.0,77.03,10.0
2020-06-13 7:0:00,0.0,1.9499999999999993,9.780000000000001,283.11,0.0,275.28,10.0
2020-06-13 7:15:00,0.0,1.9499999999999993,12.0,67.82000000000001,0.0,57.77,10.0
2020-06-13 7:30:00,0.0,1.9499999999999993,7.83,53.79,0.0,47.91,10.0
2020-06-13 7:45:00,0.0,1.9499999999999993,8.370000000000001,56.88,0.0,50.46,10.0
2020-06-13 8:0:00,0.0,1.9499999999999993,12.330000000000002,53.96,0.0,43.58,10.0
2020-06-13 8:15:00,0.0,1.9499999999999993,13.3,87.45,0.0,76.1,10.0
