date,Production(KWh),Consumption(KWh)
2023-08-31 0:00:00,0.0,9.4
2023-08-31 1:00:00,0.0,6.8
2023-08-31 2:00:00,0.0,6.4
2023-08-31 3:00:00,0.0,6.1
2023-08-31 4:00:00,0.0,6.4
2023-08-31 5:00:00,0.0,6.2
2023-08-31 6:00:00,1.7,6.4
2023-08-31 7:00:00,4.2,6.8
2023-08-31 8:00:00,17.4,7.0
2023-08-31 9:00:00,28.2,7.0
2023-08-31 10:00:00,31.8,7.2
2023-08-31 11:00:00,35.1,8.3
2023-08-31 12:00:00,38.3,10.2
2023-08-31 13:00:00,38.8,11.3
2023-08-31 14:00:00,35.7,10.9
2023-08-31 15:00:00,27.1,11.0
2023-08-31 16:00:00,26.4,11.5
2023-08-31 17:00:00,7.1,11.5
2023-08-31 18:00:00,4.6,10.5
2023-08-31 19:00:00,4.0,10.0
2023-08-31 20:00:00,0.0,10.1
2023-08-31 21:00:00,0.0,9.9
2023-08-31 22:00:00,0.0,8.9
2023-08-31 23:00:00,0.0,8.3
