date,Discharge(W),Charge(W),Production(W),Consumption(W),Feed-in(W),From grid(W)
2020-11-05 0:0:00,1.1,0.0,0.0,1.5,0.0,0.4
2020-11-05 0:15:00,0.9,0.0,0.0,1.3,0.0,0.5
2020-11-05 0:30:00,0.9,0.0,0.0,1.3,0.0,0.4
2020-11-05 0:45:00,2.3,0.0,0.0,2.8,0.0,0.4
2020-11-05 1:0:00,2.1,0.0,0.0,2.5,0.0,0.4
2020-11-05 1:15:00,2.0,0.0,0.0,2.4,0.0,0.4
2020-11-05 1:30:00,0.8,0.0,0.0,1.2,0.0,0.4
2020-11-05 1:45:00,0.5,0.0,0.0,0.9,0.0,0.4
2020-11-05 2:0:00,0.5,0.0,0.0,0.9,0.0,0.4
2020-11-05 2:15:00,0.4,0.0,0.0,0.9,0.0,0.5
2020-11-05 2:30:00,0.4,0.0,0.0,0.8,0.0,0.5
2020-11-05 2:45:00,0.4,0.0,0.0,0.9,0.0,0.5
2020-11-05 3:0:00,0.5,0.0,0.0,0.9,0.0,0.5
2020-11-05 3:15:00,0.5,0.0,0.0,0.9,0.0,0.4
2020-11-05 3:30:00,0.9,0.0,0.0,1.4,0.0,0.5
2020-11-05 3:45:00,2.2,0.0,0.0,2.7,0.0,0.5
2020-11-05 4:0:00,2.0,0.0,0.0,2.5,0.0,0.5
2020-11-05 4:15:00,2.0,0.0,0.0,2.5,0.0,0.5
2020-11-05 4:30:00,0.6,0.0,0.0,1.0,0.0,0.5
2020-11-05 4:45:00,0.4,0.0,0.0,0.9,0.0,0.5
2020-11-05 5:0:00,0.5,0.0,0.0,0.9,0.0,0.5
2020-11-05 5:15:00,0.5,0.0,0.0,1.0,0.0,0.5
2020-11-05 5:30:00,0.4,0.0,0.0,0.9,0.0,0.5
2020-11-05 5:45:00,0.5,0.0,0.0,0.9,0.0,0.4
2020-11-05 6:0:00,0.5,0.0,0.0,0.9,0.0,0.4
2020-11-05 6:15:00,0.4,0.0,0.0,0.9,0.0,0.5
2020-11-05 6:30:00,0.3,0.0,0.0,0.9,0.0,0.5
2020-11-05 6:45:00,0.9,0.0,0.7,2.1,0.0,0.5
2020-11-05 7:0:00,0.8,0.2,1.5,2.5,0.0,0.4
2020-11-05 7:15:00,0.0,3.1,5.0,2.4,0.0,0.5
2020-11-05 7:30:00,0.0,6.5,7.8,1.8,0.0,0.5
2020-11-05 7:45:00,13.9,5.8,9.9,21.8,0.0,3.8
2020-11-05 8:0:00,37.5,0.0,11.3,50.9,0.0,2.1
2020-11-05 8:15:00,34.5,0.0,14.1,49.1,0.0,0.5
2020-11-05 8:30:00,2.2,0.0,15.9,48.7,0.0,30.6
2020-11-05 8:45:00,0.0,0.0,18.1,52.8,0.0,34.7
2020-11-05 9:0:00,5.1,8.3,20.6,29.2,0.0,11.9
2020-11-05 9:15:00,1.5,8.9,22.5,24.1,0.1,9.1
2020-11-05 9:30:00,5.7,16.0,24.8,15.3,0.5,1.4
2020-11-05 9:45:00,3.0,17.1,26.8,13.0,0.7,1.0
2020-11-05 10:0:00,6.6,15.8,27.8,18.9,0.4,0.8
2020-11-05 10:15:00,5.8,17.5,28.9,18.1,0.2,1.0
2020-11-05 10:30:00,1.5,22.6,30.1,9.4,0.4,0.7
2020-11-05 10:45:00,1.5,25.0,31.2,8.6,0.1,0.9
2020-11-05 11:0:00,0.0,30.0,30.5,0.8,0.0,0.3
2020-11-05 11:15:00,0.0,31.3,31.8,0.8,0.0,0.4
2020-11-05 11:30:00,0.0,33.3,33.6,0.8,0.0,0.5
2020-11-05 11:45:00,0.0,31.9,34.2,2.5,0.2,0.5
2020-11-05 12:0:00,0.0,22.8,34.3,12.2,0.2,0.8
2020-11-05 12:15:00,1.4,26.0,34.5,10.0,0.3,0.5
2020-11-05 12:30:00,2.0,27.4,34.7,10.0,0.0,0.7
2020-11-05 12:45:00,0.0,26.7,34.8,8.7,0.1,0.6
2020-11-05 13:0:00,0.0,27.6,34.8,7.5,0.0,0.4
2020-11-05 13:15:00,0.0,32.6,34.6,2.4,0.0,0.5
2020-11-05 13:30:00,0.0,32.7,34.3,2.1,0.0,0.5
2020-11-05 13:45:00,0.9,29.9,33.8,5.4,0.1,0.7
2020-11-05 14:0:00,0.9,29.7,32.9,4.7,0.0,0.6
2020-11-05 14:15:00,0.0,30.7,32.2,1.4,0.5,0.4
2020-11-05 14:30:00,0.0,30.9,31.3,0.9,0.0,0.5
2020-11-05 14:45:00,0.0,29.5,30.2,1.2,0.0,0.5
2020-11-05 15:0:00,0.0,27.2,29.0,2.4,0.0,0.5
2020-11-05 15:15:00,0.0,26.0,27.8,2.3,0.0,0.5
2020-11-05 15:30:00,0.0,24.9,26.6,2.2,0.0,0.5
2020-11-05 15:45:00,0.0,8.1,24.4,1.1,15.3,0.1
2020-11-05 16:0:00,0.0,0.0,22.3,0.9,21.4,0.0
2020-11-05 16:15:00,1.9,0.0,20.7,8.4,14.4,0.1
2020-11-05 16:30:00,5.8,0.0,19.3,20.7,4.8,0.3
2020-11-05 16:45:00,6.8,2.0,17.6,20.6,2.3,0.5
2020-11-05 17:0:00,6.2,2.0,15.6,18.4,1.8,0.4
2020-11-05 17:15:00,4.2,4.8,13.8,13.3,0.9,0.9
2020-11-05 17:30:00,12.3,1.3,11.7,23.4,0.5,1.1
2020-11-05 17:45:00,8.8,2.2,9.4,16.5,0.3,0.8
2020-11-05 18:0:00,12.6,0.4,7.3,21.2,0.3,1.9
2020-11-05 18:15:00,48.8,0.0,5.2,59.0,0.0,5.0
2020-11-05 18:30:00,48.6,0.0,3.3,55.7,0.0,3.8
2020-11-05 18:45:00,43.9,0.0,2.5,46.7,0.1,0.4
2020-11-05 19:0:00,46.0,0.0,1.9,48.3,0.0,0.4
2020-11-05 19:15:00,12.4,0.0,1.2,14.1,0.1,0.6
2020-11-05 19:30:00,6.0,0.0,1.0,7.5,0.3,0.8
2020-11-05 19:45:00,14.3,0.0,0.9,15.6,0.3,0.7
2020-11-05 20:0:00,22.8,0.0,0.8,24.4,0.3,1.0
2020-11-05 20:15:00,37.9,0.0,1.0,39.3,0.1,0.5
2020-11-05 20:30:00,11.3,0.0,0.7,12.9,0.5,1.4
2020-11-05 20:45:00,12.5,0.0,0.5,13.4,0.1,0.4
2020-11-05 21:0:00,17.0,0.0,0.3,18.6,0.5,1.7
2020-11-05 21:15:00,7.4,0.0,0.0,8.0,0.2,0.9
2020-11-05 21:30:00,7.9,0.0,0.0,8.4,0.3,0.7
2020-11-05 21:45:00,49.6,0.0,0.1,50.3,0.0,0.7
2020-11-05 22:0:00,51.8,0.0,0.1,53.2,0.0,1.4
2020-11-05 22:15:00,38.0,0.0,0.0,47.4,0.0,9.4
2020-11-05 22:30:00,3.7,0.1,0.0,38.9,0.0,35.3
2020-11-05 22:45:00,0.0,0.1,0.0,29.3,0.0,29.5
2020-11-05 23:0:00,0.0,0.1,0.0,7.7,0.0,7.9
2020-11-05 23:15:00,0.0,0.1,0.0,9.0,0.0,9.1
2020-11-05 23:30:00,0.0,0.1,0.0,6.8,0.0,6.9
