date,Discharge(W),Charge(W),Production(W),Consumption(W),Feed-in(W),From grid(W)
2020-03-08 0:0:00,1.4,0.0,0.0,1.9,0.0,0.5
2020-03-08 0:15:00,1.3,0.0,0.0,1.8,0.0,0.5
2020-03-08 0:30:00,1.3,0.0,0.0,1.8,0.0,0.5
2020-03-08 0:45:00,1.9,0.0,0.0,2.4,0.0,0.5
2020-03-08 1:0:00,1.9,0.0,0.0,2.4,0.0,0.5
2020-03-08 1:15:00,0.7,0.0,0.0,1.4,0.0,0.7
2020-03-08 1:30:00,0.6,0.0,0.0,1.1,0.0,0.5
2020-03-08 1:45:00,0.6,0.0,0.0,1.1,0.0,0.5
2020-03-08 2:0:00,0.9,0.0,0.0,1.4,0.0,0.5
2020-03-08 2:15:00,2.2,0.0,0.0,2.7,0.0,0.5
2020-03-08 2:30:00,0.6,0.0,0.0,1.1,0.0,0.5
2020-03-08 2:45:00,0.7,0.0,0.0,1.1,0.0,0.4
2020-03-08 3:0:00,0.7,0.0,0.0,1.1,0.0,0.5
2020-03-08 3:15:00,0.7,0.0,0.0,1.1,0.0,0.5
2020-03-08 3:30:00,2.2,0.0,0.0,2.7,0.0,0.5
2020-03-08 3:45:00,1.0,0.0,0.0,1.5,0.0,0.5
2020-03-08 4:0:00,0.6,0.0,0.0,1.1,0.0,0.5
2020-03-08 4:15:00,0.6,0.0,0.0,1.2,0.0,0.5
2020-03-08 4:30:00,0.6,0.0,0.0,1.1,0.0,0.5
2020-03-08 4:45:00,1.8,0.0,0.0,2.2,0.0,0.5
2020-03-08 5:0:00,1.4,0.0,0.0,1.9,0.0,0.5
2020-03-08 5:15:00,0.6,0.0,0.0,1.1,0.0,0.5
2020-03-08 5:30:00,0.7,0.0,0.0,1.1,0.0,0.4
2020-03-08 5:45:00,0.1,0.1,0.0,1.0,0.0,1.0
2020-03-08 6:0:00,0.0,0.1,0.0,1.6,0.0,1.7
2020-03-08 6:15:00,0.0,0.1,0.0,2.1,0.0,2.2
2020-03-08 6:30:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-03-08 6:45:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-03-08 7:0:00,0.0,0.0,0.0,0.4,0.0,0.4
2020-03-08 7:15:00,0.0,0.3,0.3,0.5,0.0,0.5
2020-03-08 7:30:00,0.0,1.1,1.1,2.1,0.0,2.1
2020-03-08 7:45:00,0.0,2.0,2.0,0.9,0.0,0.9
2020-03-08 8:0:00,0.0,8.6,8.6,0.6,0.0,0.6
2020-03-08 8:15:00,0.0,6.7,6.9,0.6,0.0,0.4
2020-03-08 8:30:00,8.8,3.0,7.2,13.8,0.0,0.8
2020-03-08 8:45:00,17.8,0.0,16.2,34.4,0.0,0.4
2020-03-08 9:0:00,18.2,0.0,15.7,34.3,0.0,0.4
2020-03-08 9:15:00,13.4,0.0,19.1,32.9,0.0,0.4
2020-03-08 9:30:00,5.6,4.7,21.2,22.0,0.7,0.8
2020-03-08 9:45:00,12.1,7.6,22.7,30.0,0.2,3.0
2020-03-08 10:0:00,0.0,23.1,24.6,2.0,0.0,0.5
2020-03-08 10:15:00,0.0,24.6,25.5,1.3,0.0,0.4
2020-03-08 10:30:00,0.0,26.8,26.9,0.6,0.0,0.5
2020-03-08 10:45:00,0.0,25.1,25.4,0.6,0.0,0.4
2020-03-08 11:0:00,0.0,13.6,13.8,0.5,0.0,0.4
2020-03-08 11:15:00,0.0,13.9,15.7,2.2,0.0,0.4
2020-03-08 11:30:00,0.0,25.9,26.3,0.8,0.0,0.3
2020-03-08 11:45:00,2.3,24.1,29.7,8.7,0.0,0.9
2020-03-08 12:0:00,0.0,4.0,30.1,0.6,25.6,0.0
2020-03-08 12:15:00,0.0,0.0,19.0,1.3,17.6,0.0
2020-03-08 12:30:00,0.0,0.0,19.7,1.8,17.8,0.0
2020-03-08 12:45:00,0.0,0.0,25.0,0.8,24.2,0.0
2020-03-08 13:0:00,0.0,0.0,26.7,0.8,25.9,0.0
2020-03-08 13:15:00,0.0,0.0,30.0,0.7,29.2,0.0
2020-03-08 13:30:00,0.0,0.0,27.8,1.7,26.1,0.0
2020-03-08 13:45:00,0.0,0.0,28.5,1.4,27.1,0.0
2020-03-08 14:0:00,0.0,0.0,28.2,0.6,27.6,0.0
2020-03-08 14:15:00,0.0,0.0,28.4,0.5,27.9,0.0
2020-03-08 14:30:00,0.0,0.0,19.5,1.6,17.9,0.0
2020-03-08 14:45:00,0.0,0.0,15.4,1.3,14.1,0.0
2020-03-08 15:0:00,6.0,5.7,13.9,9.4,5.0,0.0
2020-03-08 15:15:00,0.0,5.5,15.9,0.6,9.8,0.0
2020-03-08 15:30:00,0.0,0.0,15.3,1.0,14.3,0.0
2020-03-08 15:45:00,0.0,0.0,13.9,1.9,12.0,0.0
2020-03-08 16:0:00,0.0,0.0,15.6,0.5,15.1,0.0
2020-03-08 16:15:00,0.0,0.0,15.0,0.5,14.4,0.0
2020-03-08 16:30:00,0.0,0.0,12.2,0.5,11.7,0.0
2020-03-08 16:45:00,0.0,0.0,11.9,1.8,10.1,0.0
2020-03-08 17:0:00,0.0,0.0,11.9,1.1,10.7,0.0
2020-03-08 17:15:00,0.0,0.0,8.6,0.5,8.1,0.0
2020-03-08 17:30:00,0.0,0.0,6.5,0.5,6.0,0.0
2020-03-08 17:45:00,0.0,0.0,5.7,0.6,5.1,0.0
2020-03-08 18:0:00,2.0,0.0,5.9,4.7,3.3,0.2
2020-03-08 18:15:00,41.2,0.0,4.9,59.3,0.2,13.4
2020-03-08 18:30:00,36.9,0.0,5.1,48.2,0.1,6.2
2020-03-08 18:45:00,26.3,0.0,5.6,32.3,0.0,0.4
2020-03-08 19:0:00,5.8,1.4,4.4,9.0,0.5,0.8
2020-03-08 19:15:00,5.2,0.2,2.5,8.1,0.1,0.6
2020-03-08 19:30:00,1.3,0.0,1.7,3.9,0.0,0.8
2020-03-08 19:45:00,2.0,0.0,0.7,3.2,0.0,0.5
2020-03-08 20:0:00,3.4,0.0,1.2,5.0,0.0,0.4
2020-03-08 20:15:00,2.6,0.0,0.9,4.0,0.0,0.5
2020-03-08 20:30:00,7.4,0.0,0.4,8.2,0.1,0.5
2020-03-08 20:45:00,0.5,0.0,0.0,1.0,0.0,0.4
2020-03-08 21:0:00,0.9,0.0,0.0,1.4,0.0,0.5
2020-03-08 21:15:00,3.5,0.0,0.0,4.0,0.0,0.5
2020-03-08 21:30:00,4.7,0.0,0.0,5.3,0.0,0.5
2020-03-08 21:45:00,5.5,0.0,0.0,6.1,0.0,0.5
2020-03-08 22:0:00,5.3,0.0,0.0,5.7,0.0,0.4
2020-03-08 22:15:00,3.8,0.0,0.0,4.1,0.0,0.4
2020-03-08 22:30:00,2.8,0.0,0.0,3.3,0.0,0.4
2020-03-08 22:45:00,3.6,0.0,0.0,4.1,0.0,0.5
2020-03-08 23:0:00,5.4,0.0,0.0,5.9,0.0,0.5
2020-03-08 23:15:00,3.1,0.0,0.0,3.6,0.0,0.5
2020-03-08 23:30:00,1.9,0.0,0.0,2.3,0.0,0.4
2020-03-08 23:45:00,1.2,0.0,0.0,1.7,0.0,0.5
2020-03-08 24:0:00,1.2,0.0,0.0,1.7,0.0,0.5
