date,Discharge(W),Charge(W),Production(W),Consumption(W),Feed-in(W),From grid(W)
2020-04-30 21:15:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 21:30:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 21:45:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 22:0:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 22:15:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 22:30:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 22:45:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 23:0:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 23:15:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 23:30:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 23:45:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 24:0:00,0.0,0.1,0.0,0.0,0.0,0.1
