date,Discharge(W),Charge(W),Production(W),Consumption(W),Feed-in(W),From grid(W)
2020-04-04 0:0:00,0.0,0.1,0.0,6.8,0.0,6.9
2020-04-04 0:15:00,0.0,0.1,0.0,6.6,0.0,6.8
2020-04-04 0:30:00,0.0,0.1,0.0,6.6,0.0,6.7
2020-04-04 0:45:00,0.0,0.1,0.0,7.8,0.0,7.9
2020-04-04 1:0:00,0.0,0.1,0.0,8.3,0.0,8.4
2020-04-04 1:15:00,0.0,0.1,0.0,7.0,0.0,7.1
2020-04-04 1:30:00,0.0,0.1,0.0,6.6,0.0,6.8
2020-04-04 1:45:00,0.0,0.1,0.0,6.7,0.0,6.8
2020-04-04 2:0:00,0.0,0.1,0.0,6.7,0.0,6.8
2020-04-04 2:15:00,0.0,0.1,0.0,6.7,0.0,6.8
2020-04-04 2:30:00,0.0,0.1,0.0,6.6,0.0,6.7
2020-04-04 2:45:00,0.0,0.1,0.0,6.6,0.0,6.7
2020-04-04 3:0:00,0.0,0.1,0.0,8.2,0.0,8.4
2020-04-04 3:15:00,0.0,0.1,0.0,8.0,0.0,8.1
2020-04-04 3:30:00,0.0,0.1,0.0,7.3,0.0,7.4
2020-04-04 3:45:00,0.0,0.1,0.0,6.7,0.0,6.8
2020-04-04 4:0:00,0.0,0.1,0.0,6.7,0.0,6.9
2020-04-04 4:15:00,0.0,0.1,0.0,6.7,0.0,6.8
2020-04-04 4:30:00,0.0,0.1,0.0,6.6,0.0,6.7
2020-04-04 4:45:00,0.0,0.1,0.0,6.7,0.0,6.8
2020-04-04 5:0:00,0.0,0.1,0.0,6.7,0.0,6.8
2020-04-04 5:15:00,0.0,0.1,0.0,8.1,0.0,8.2
2020-04-04 5:30:00,0.0,0.1,0.0,4.4,0.0,4.6
2020-04-04 5:45:00,0.0,0.1,0.0,2.8,0.0,2.9
2020-04-04 6:0:00,0.0,0.1,0.0,2.9,0.0,3.0
2020-04-04 6:15:00,0.0,0.1,0.0,2.9,0.0,3.0
2020-04-04 6:30:00,0.0,0.1,0.0,2.4,0.0,2.5
2020-04-04 6:45:00,0.0,0.1,0.0,2.4,0.0,2.5
2020-04-04 7:0:00,0.0,0.1,0.0,2.3,0.0,2.5
2020-04-04 7:15:00,0.0,0.1,0.0,2.8,0.0,2.9
2020-04-04 7:30:00,0.0,0.1,0.0,4.0,0.0,4.1
2020-04-04 7:45:00,0.0,0.0,0.0,3.2,0.0,3.2
2020-04-04 8:0:00,0.0,0.0,0.0,2.4,0.0,2.4
2020-04-04 8:15:00,0.0,0.1,0.1,2.4,0.0,2.4
2020-04-04 8:30:00,0.0,0.1,0.1,2.3,0.0,2.3
2020-04-04 8:45:00,0.0,0.2,0.2,2.3,0.0,2.3
2020-04-04 9:0:00,0.0,0.7,0.7,2.4,0.0,2.4
2020-04-04 9:15:00,0.0,1.1,1.1,2.4,0.0,2.4
2020-04-04 9:30:00,0.0,1.1,1.1,2.8,0.0,2.8
2020-04-04 9:45:00,0.0,1.1,1.1,4.1,0.0,4.1
2020-04-04 10:0:00,0.0,1.6,1.5,3.3,0.0,3.3
2020-04-04 10:15:00,0.0,2.8,2.8,2.5,0.0,2.5
2020-04-04 10:30:00,0.0,1.3,1.3,2.4,0.0,2.4
2020-04-04 10:45:00,0.0,3.0,3.0,2.4,0.0,2.4
2020-04-04 11:0:00,0.0,5.0,5.0,2.4,0.0,2.4
2020-04-04 11:15:00,0.0,7.0,7.3,2.4,0.0,2.1
2020-04-04 11:30:00,0.0,3.3,10.8,2.6,5.3,0.3
2020-04-04 11:45:00,0.0,0.0,12.7,2.6,10.1,0.0
2020-04-04 12:0:00,0.0,0.0,18.8,4.3,14.6,0.0
2020-04-04 12:15:00,0.0,0.0,16.0,3.8,12.2,0.0
2020-04-04 12:30:00,0.0,0.0,16.1,2.6,13.4,0.0
2020-04-04 12:45:00,0.0,0.0,14.2,2.7,11.5,0.0
2020-04-04 13:0:00,0.0,0.0,18.1,2.8,15.3,0.0
2020-04-04 13:15:00,0.0,0.0,17.0,2.7,14.3,0.0
2020-04-04 13:30:00,0.0,0.0,20.4,2.8,17.6,0.0
2020-04-04 13:45:00,0.0,0.0,24.8,2.8,22.0,0.0
2020-04-04 14:0:00,0.0,0.0,20.0,2.8,17.2,0.0
2020-04-04 14:15:00,0.0,0.0,29.5,3.9,25.5,0.0
2020-04-04 14:30:00,0.0,0.0,29.9,5.1,24.8,0.0
2020-04-04 14:45:00,0.0,0.0,23.1,1.8,21.3,0.0
2020-04-04 15:0:00,0.0,0.0,22.4,35.6,8.2,21.5
2020-04-04 15:15:00,0.0,0.0,12.8,68.8,0.0,56.0
2020-04-04 15:30:00,0.0,0.0,9.2,13.8,3.9,8.5
2020-04-04 15:45:00,0.0,0.0,6.8,8.7,2.0,4.0
2020-04-04 16:0:00,0.0,0.0,7.4,3.0,4.4,0.0
2020-04-04 16:15:00,0.0,0.0,6.7,3.4,3.3,0.0
2020-04-04 16:30:00,0.0,0.0,7.4,4.1,3.2,0.0
2020-04-04 16:45:00,0.0,0.0,8.5,3.8,4.6,0.0
2020-04-04 17:0:00,0.0,0.0,6.8,2.2,4.6,0.0
2020-04-04 17:15:00,0.0,0.9,6.9,1.9,4.2,0.0
2020-04-04 17:30:00,0.0,7.4,9.9,2.0,1.4,0.8
2020-04-04 17:45:00,0.0,0.0,4.7,2.1,2.7,0.2
2020-04-04 18:0:00,0.0,1.2,2.0,1.7,0.3,1.2
2020-04-04 18:15:00,0.0,1.2,1.6,1.9,0.1,1.5
2020-04-04 18:30:00,0.0,0.0,1.3,3.4,0.0,2.2
2020-04-04 18:45:00,0.0,0.0,0.9,3.2,0.0,2.3
2020-04-04 19:0:00,0.0,0.0,0.6,1.4,0.0,0.7
2020-04-04 19:15:00,0.0,0.0,0.7,0.7,0.0,0.0
2020-04-04 19:30:00,0.0,0.0,0.5,0.6,0.0,0.1
2020-04-04 19:45:00,0.0,0.1,0.2,0.8,0.0,0.7
2020-04-04 20:0:00,0.0,0.0,0.0,2.8,0.0,2.9
2020-04-04 20:15:00,0.0,0.0,0.0,5.2,0.0,5.2
2020-04-04 20:30:00,0.0,0.1,0.0,13.7,0.0,13.8
2020-04-04 20:45:00,0.0,0.1,0.0,38.6,0.0,38.7
2020-04-04 21:0:00,0.0,0.1,0.0,48.8,0.0,49.0
2020-04-04 21:15:00,0.0,0.1,0.0,48.6,0.0,48.7
2020-04-04 21:30:00,0.0,0.1,0.0,44.1,0.0,44.2
2020-04-04 21:45:00,0.0,0.1,0.0,29.8,0.0,29.9
2020-04-04 22:0:00,0.0,0.1,0.0,9.2,0.0,9.3
2020-04-04 22:15:00,0.0,0.1,0.0,9.6,0.0,9.7
2020-04-04 22:30:00,0.0,0.1,0.0,10.4,0.0,10.5
2020-04-04 22:45:00,0.0,0.1,0.0,10.1,0.0,10.2
2020-04-04 23:0:00,0.0,0.1,0.0,9.2,0.0,9.3
2020-04-04 23:15:00,0.0,0.1,0.0,8.9,0.0,9.1
2020-04-04 23:30:00,0.0,0.1,0.0,9.0,0.0,9.1
2020-04-04 23:45:00,0.0,0.1,0.0,9.3,0.0,9.4
2020-04-04 24:0:00,0.0,0.1,0.0,9.0,0.0,9.1
