date,Discharge(W),Charge(W),Production(W),Consumption(W),Feed-in(W),From grid(W)
2020-09-28 0:0:00,0.0,0.1,0.0,0.3,0.0,0.5
2020-09-28 0:15:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-09-28 0:30:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-09-28 0:45:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-09-28 1:0:00,0.7,0.1,0.0,1.2,0.0,0.6
2020-09-28 1:15:00,1.6,0.0,0.0,2.1,0.0,0.5
2020-09-28 1:30:00,0.1,0.1,0.0,0.5,0.0,0.5
2020-09-28 1:45:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-09-28 2:0:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-09-28 2:15:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-09-28 2:30:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-09-28 2:45:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-09-28 3:0:00,1.0,0.0,0.0,1.4,0.0,0.5
2020-09-28 3:15:00,1.4,0.0,0.0,1.8,0.0,0.4
2020-09-28 3:30:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-09-28 3:45:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-09-28 4:0:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-09-28 4:15:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-09-28 4:30:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-09-28 4:45:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-09-28 5:0:00,1.1,0.0,0.0,1.6,0.0,0.5
2020-09-28 5:15:00,1.4,0.0,0.0,1.8,0.0,0.4
2020-09-28 5:30:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-09-28 5:45:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-09-28 6:0:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-09-28 6:15:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-09-28 6:30:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-09-28 6:45:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-09-28 7:0:00,0.0,0.1,0.0,1.5,0.0,1.6
2020-09-28 7:15:00,0.0,0.1,0.0,1.7,0.0,1.8
2020-09-28 7:30:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-09-28 7:45:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-09-28 8:0:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-09-28 8:15:00,0.0,0.1,0.1,0.4,0.0,0.4
2020-09-28 8:30:00,0.0,0.2,0.2,0.4,0.0,0.4
2020-09-28 8:45:00,0.0,0.7,0.8,0.5,0.0,0.4
2020-09-28 9:0:00,0.5,0.1,0.2,1.0,0.0,0.4
2020-09-28 9:15:00,0.6,0.4,1.4,2.0,0.0,0.4
2020-09-28 9:30:00,0.0,1.4,1.5,0.6,0.0,0.4
2020-09-28 9:45:00,0.0,12.7,12.8,0.4,0.0,0.3
