date,Discharge(W),Charge(W),Production(W),Consumption(W),Feed-in(W),From grid(W)
2020-08-16 0:0:00,1.6,0.0,0.0,2.0,0.0,0.5
2020-08-16 0:15:00,0.3,0.0,0.0,0.8,0.0,0.5
2020-08-16 0:30:00,0.1,0.0,0.0,0.6,0.0,0.5
2020-08-16 0:45:00,0.1,0.0,0.0,0.7,0.0,0.5
2020-08-16 1:0:00,0.2,0.0,0.0,0.7,0.0,0.5
2020-08-16 1:15:00,0.9,0.0,0.0,1.5,0.0,0.6
2020-08-16 1:30:00,1.8,0.0,0.0,2.3,0.0,0.5
2020-08-16 1:45:00,0.4,0.1,0.0,0.8,0.0,0.5
2020-08-16 2:0:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-08-16 2:15:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-08-16 2:30:00,0.0,0.1,0.0,0.3,0.0,0.5
2020-08-16 2:45:00,0.3,0.1,0.0,0.7,0.0,0.5
2020-08-16 3:0:00,1.6,0.0,0.0,2.1,0.0,0.5
2020-08-16 3:15:00,0.6,0.1,0.0,1.0,0.0,0.5
2020-08-16 3:30:00,0.0,0.1,0.0,0.3,0.0,0.5
2020-08-16 3:45:00,0.0,0.1,0.0,0.3,0.0,0.5
2020-08-16 4:0:00,0.0,0.1,0.0,0.3,0.0,0.5
2020-08-16 4:15:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-08-16 4:30:00,1.5,0.0,0.0,2.1,0.0,0.6
2020-08-16 4:45:00,1.0,0.0,0.0,1.4,0.0,0.5
2020-08-16 5:0:00,0.0,0.1,0.0,0.3,0.0,0.5
2020-08-16 5:15:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-08-16 5:30:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-08-16 5:45:00,0.0,0.1,0.0,0.3,0.0,0.5
2020-08-16 6:0:00,0.0,0.1,0.0,1.4,0.0,1.6
2020-08-16 6:15:00,0.0,0.1,0.0,1.8,0.0,1.9
2020-08-16 6:30:00,0.0,0.1,0.0,0.3,0.0,0.5
2020-08-16 6:45:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-08-16 7:0:00,0.0,0.1,0.0,0.3,0.0,0.5
2020-08-16 7:15:00,0.0,0.1,0.0,0.3,0.0,0.5
2020-08-16 7:30:00,0.0,0.1,0.0,0.9,0.0,1.0
2020-08-16 7:45:00,0.0,0.1,0.0,1.9,0.0,2.0
2020-08-16 8:0:00,0.0,0.0,0.0,0.6,0.0,0.7
2020-08-16 8:15:00,0.0,0.0,0.0,0.2,0.0,0.2
2020-08-16 8:30:00,0.0,0.8,0.8,0.2,0.0,0.2
2020-08-16 8:45:00,0.0,1.8,1.9,0.2,0.0,0.2
2020-08-16 9:0:00,0.0,1.8,1.8,0.2,0.0,0.1
2020-08-16 9:15:00,0.1,0.2,1.6,2.1,0.0,0.5
2020-08-16 9:30:00,0.1,0.6,1.3,1.2,0.0,0.4
2020-08-16 9:45:00,0.0,1.5,1.5,0.2,0.0,0.1
2020-08-16 10:0:00,0.0,1.7,1.7,0.1,0.0,0.1
2020-08-16 10:15:00,21.1,0.4,1.8,23.0,0.0,0.4
2020-08-16 10:30:00,24.8,0.0,2.0,40.2,0.0,13.4
2020-08-16 10:45:00,0.0,0.0,2.2,54.0,0.0,51.8
2020-08-16 11:0:00,0.0,0.1,2.6,48.7,0.0,46.2
2020-08-16 11:15:00,0.0,2.8,3.2,4.6,0.0,4.2
2020-08-16 11:30:00,0.0,4.8,4.8,0.1,0.0,0.1
2020-08-16 11:45:00,0.0,4.7,4.7,0.1,0.0,0.1
2020-08-16 12:0:00,0.0,5.4,6.1,0.9,0.0,0.2
2020-08-16 12:15:00,0.0,2.3,3.9,2.1,0.0,0.5
2020-08-16 12:30:00,0.0,2.5,4.0,1.9,0.0,0.4
2020-08-16 12:45:00,0.0,9.1,9.8,1.2,0.0,0.5
2020-08-16 13:0:00,0.0,24.0,24.9,1.2,0.0,0.4
2020-08-16 13:15:00,0.0,13.2,13.6,0.8,0.0,0.4
2020-08-16 13:30:00,0.0,8.5,9.3,1.4,0.0,0.5
2020-08-16 13:45:00,0.0,3.0,5.2,2.7,0.0,0.5
2020-08-16 14:0:00,0.0,8.8,10.2,1.8,0.0,0.4
2020-08-16 14:15:00,0.0,14.7,15.3,1.1,0.0,0.5
2020-08-16 14:30:00,0.0,15.2,15.9,1.1,0.0,0.4
2020-08-16 14:45:00,0.0,10.6,11.1,1.0,0.0,0.5
2020-08-16 15:0:00,0.0,9.0,9.5,1.1,0.0,0.5
2020-08-16 15:15:00,8.3,0.8,8.0,16.4,0.0,0.9
2020-08-16 15:30:00,3.4,5.1,8.4,6.8,0.3,0.5
2020-08-16 15:45:00,0.0,10.6,10.6,0.2,0.0,0.2
2020-08-16 16:0:00,0.0,14.2,14.2,0.2,0.0,0.2
2020-08-16 16:15:00,0.0,11.5,11.5,0.1,0.0,0.1
2020-08-16 16:30:00,0.0,6.5,7.3,1.3,0.0,0.5
2020-08-16 16:45:00,0.0,4.5,6.0,1.9,0.0,0.5
2020-08-16 17:0:00,0.0,4.3,4.5,0.3,0.0,0.1
2020-08-16 17:15:00,5.0,3.3,4.1,6.0,0.0,0.3
2020-08-16 17:30:00,0.0,5.5,5.5,0.1,0.0,0.1
2020-08-16 17:45:00,0.0,5.0,5.1,0.1,0.0,0.1
2020-08-16 18:0:00,0.0,1.6,3.1,2.0,0.0,0.5
2020-08-16 18:15:00,0.0,1.6,3.6,2.6,0.0,0.5
2020-08-16 18:30:00,0.0,0.2,2.0,2.3,0.0,0.4
2020-08-16 18:45:00,0.3,0.1,1.3,1.9,0.0,0.4
2020-08-16 19:0:00,20.4,0.5,3.5,24.1,0.0,0.6
2020-08-16 19:15:00,38.5,0.0,3.2,74.0,0.0,32.4
2020-08-16 19:30:00,31.4,0.2,2.6,34.1,0.3,0.7
2020-08-16 19:45:00,7.4,0.1,1.5,9.6,0.2,0.9
2020-08-16 20:0:00,9.4,0.0,1.1,12.6,0.5,2.7
2020-08-16 20:15:00,31.0,0.0,0.8,33.0,0.0,1.2
2020-08-16 20:30:00,4.5,0.1,0.1,34.9,0.2,30.5
2020-08-16 20:45:00,0.0,0.0,0.0,29.8,0.0,29.9
2020-08-16 21:0:00,0.0,0.1,0.0,5.4,0.0,5.5
2020-08-16 21:15:00,0.0,0.1,0.0,4.5,0.0,4.6
2020-08-16 21:30:00,0.0,0.1,0.0,4.1,0.0,4.2
2020-08-16 21:45:00,0.0,0.1,0.0,4.1,0.0,4.2
2020-08-16 22:0:00,0.0,0.1,0.0,5.5,0.0,5.6
2020-08-16 22:15:00,0.0,0.1,0.0,6.8,0.0,6.9
2020-08-16 22:30:00,0.0,0.1,0.0,6.3,0.0,6.4
2020-08-16 22:45:00,0.0,0.1,0.0,7.5,0.0,7.6
2020-08-16 23:0:00,0.0,0.1,0.0,37.9,0.0,38.0
2020-08-16 23:15:00,0.0,0.1,0.0,28.6,0.0,28.8
2020-08-16 23:30:00,0.0,0.1,0.0,14.4,0.0,14.6
2020-08-16 23:45:00,0.0,0.1,0.0,13.5,0.0,13.6
2020-08-16 24:0:00,0.0,0.1,0.0,8.2,0.0,8.3
