date,Discharge(W),Charge(W),Production(W),Consumption(W),Feed-in(W),From grid(W)
2020-01-18 0:0:00,0.0,0.1,0.0,1.7,0.0,1.8
2020-01-18 0:15:00,0.0,0.1,0.0,1.8,0.0,1.9
2020-01-18 0:30:00,0.0,0.1,0.0,3.4,0.0,3.5
2020-01-18 0:45:00,0.0,0.1,0.0,2.3,0.0,2.4
2020-01-18 1:0:00,0.0,0.1,0.0,1.6,0.0,1.8
2020-01-18 1:15:00,0.0,0.1,0.0,1.6,0.0,1.7
2020-01-18 1:30:00,0.0,4.5,0.0,1.6,0.0,6.1
2020-01-18 1:45:00,0.0,0.1,0.0,1.5,0.0,1.6
2020-01-18 2:0:00,0.0,0.1,0.0,1.5,0.0,1.6
2020-01-18 2:15:00,0.0,0.1,0.0,2.8,0.0,2.9
2020-01-18 2:30:00,0.0,0.1,0.0,2.4,0.0,2.5
2020-01-18 2:45:00,0.0,0.1,0.0,1.4,0.0,1.6
2020-01-18 3:0:00,0.0,0.1,0.0,1.6,0.0,1.7
2020-01-18 3:15:00,0.0,0.1,0.0,1.4,0.0,1.5
2020-01-18 3:30:00,0.0,0.2,0.0,1.8,0.0,2.0
2020-01-18 3:45:00,0.0,0.1,0.0,1.4,0.0,1.5
2020-01-18 4:0:00,0.0,0.1,0.0,2.0,0.0,2.2
2020-01-18 4:15:00,0.0,0.1,0.0,3.0,0.0,3.1
2020-01-18 4:30:00,0.0,0.1,0.0,1.4,0.0,1.5
2020-01-18 4:45:00,0.0,0.1,0.0,1.4,0.0,1.5
2020-01-18 5:0:00,0.0,0.1,0.0,1.4,0.0,1.5
2020-01-18 5:15:00,0.0,0.1,0.0,1.4,0.0,1.5
2020-01-18 5:30:00,0.0,0.1,0.0,1.4,0.0,1.5
2020-01-18 5:45:00,0.0,0.1,0.0,1.5,0.0,1.6
2020-01-18 6:0:00,0.0,4.5,0.0,2.7,0.0,7.1
2020-01-18 6:15:00,0.0,0.1,0.0,2.4,0.0,2.5
2020-01-18 6:30:00,0.0,0.1,0.0,1.4,0.0,1.6
2020-01-18 6:45:00,0.0,0.1,0.0,1.4,0.0,1.5
2020-01-18 7:0:00,0.0,0.1,0.0,1.4,0.0,1.5
2020-01-18 7:15:00,0.0,0.1,0.0,1.4,0.0,1.5
2020-01-18 7:30:00,0.0,0.1,0.0,1.4,0.0,1.5
2020-01-18 7:45:00,0.0,0.1,0.0,1.4,0.0,1.5
2020-01-18 8:0:00,0.0,0.1,0.0,3.0,0.0,3.1
2020-01-18 8:15:00,0.0,0.1,0.0,14.5,0.0,14.6
2020-01-18 8:30:00,0.0,0.1,0.0,53.8,0.0,54.0
2020-01-18 8:45:00,0.0,0.1,0.0,54.0,0.0,54.1
2020-01-18 9:0:00,0.0,0.1,0.0,34.5,0.0,34.6
2020-01-18 9:15:00,0.0,0.0,0.1,3.1,0.0,3.0
2020-01-18 9:30:00,0.0,0.0,0.6,3.0,0.0,2.5
2020-01-18 9:45:00,0.0,4.9,7.6,3.5,0.0,0.8
2020-01-18 10:0:00,0.0,3.1,12.3,28.5,0.0,19.4
2020-01-18 10:15:00,0.0,8.9,15.5,7.4,0.0,0.7
2020-01-18 10:30:00,1.5,9.8,17.2,9.6,0.9,1.4
2020-01-18 10:45:00,0.3,13.2,18.8,6.4,0.4,0.8
2020-01-18 11:0:00,0.9,12.1,19.9,9.4,0.3,0.9
2020-01-18 11:15:00,0.2,16.1,20.9,4.8,0.8,0.7
2020-01-18 11:30:00,0.2,15.9,21.6,5.7,0.5,0.4
2020-01-18 11:45:00,1.1,17.6,22.3,5.5,0.6,0.3
2020-01-18 12:0:00,0.2,19.0,23.0,3.8,0.7,0.3
2020-01-18 12:15:00,0.1,17.9,23.1,5.6,0.2,0.5
2020-01-18 12:30:00,0.1,18.0,23.2,6.2,0.2,1.1
2020-01-18 12:45:00,0.6,17.7,22.7,5.3,0.6,0.2
2020-01-18 13:0:00,0.1,16.7,22.3,5.7,0.5,0.5
