date,Discharge(W),Charge(W),Production(W),Consumption(W),Feed-in(W),From grid(W)
2020-06-10 0:0:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-06-10 0:15:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-06-10 0:30:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-06-10 0:45:00,1.3,0.0,0.0,1.8,0.0,0.5
2020-06-10 1:0:00,0.8,0.1,0.0,1.2,0.0,0.5
2020-06-10 1:15:00,0.0,0.1,0.0,0.3,0.0,0.5
2020-06-10 1:30:00,0.0,0.1,0.0,0.3,0.0,0.5
2020-06-10 1:45:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-06-10 2:0:00,0.0,0.1,0.0,0.3,0.0,0.5
2020-06-10 2:15:00,0.0,0.1,0.0,0.3,0.0,0.5
2020-06-10 2:30:00,0.7,0.1,0.0,1.2,0.0,0.5
2020-06-10 2:45:00,1.7,0.0,0.0,2.4,0.0,0.7
2020-06-10 3:0:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-06-10 3:15:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-06-10 3:30:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-06-10 3:45:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-06-10 4:0:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-06-10 4:15:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-06-10 4:30:00,1.5,0.0,0.0,2.0,0.0,0.5
2020-06-10 4:45:00,0.7,0.1,0.0,1.0,0.0,0.4
2020-06-10 5:0:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-06-10 5:15:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-06-10 5:30:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-06-10 5:45:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-06-10 6:0:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-06-10 6:15:00,0.0,0.1,0.0,1.1,0.0,1.2
2020-06-10 6:30:00,0.0,0.1,0.0,1.7,0.0,1.8
