date,Discharge(W),Charge(W),Production(W),Consumption(W),Feed-in(W),From grid(W)
2020-05-02 0:0:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-05-02 0:15:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-05-02 0:30:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-05-02 0:45:00,1.5,0.0,0.0,2.0,0.0,0.5
2020-05-02 1:0:00,0.8,0.1,0.0,1.2,0.0,0.4
2020-05-02 1:15:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-05-02 1:30:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-05-02 1:45:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-05-02 2:0:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-05-02 2:15:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-05-02 2:30:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-05-02 2:45:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-05-02 3:0:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-05-02 3:15:00,0.0,0.1,0.0,0.2,0.0,0.4
2020-05-02 3:30:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-05-02 3:45:00,0.0,0.1,0.0,0.4,0.0,0.5
2020-05-02 4:0:00,1.5,0.0,0.0,2.0,0.0,0.5
2020-05-02 4:15:00,0.8,0.1,0.0,1.1,0.0,0.4
2020-05-02 4:30:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-05-02 4:45:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-05-02 5:0:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-05-02 5:15:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-05-02 5:30:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-05-02 5:45:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-05-02 6:0:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-05-02 6:15:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-05-02 6:30:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-05-02 6:45:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-05-02 7:0:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-05-02 7:15:00,1.3,0.0,0.0,1.7,0.0,0.5
2020-05-02 7:30:00,1.0,0.0,0.0,1.5,0.0,0.5
2020-05-02 7:45:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-05-02 8:0:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-05-02 8:15:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-05-02 8:30:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-05-02 8:45:00,0.0,0.1,0.0,0.3,0.0,0.4
2020-05-02 9:0:00,0.1,0.1,0.1,0.1,0.0,0.0
2020-05-02 9:15:00,0.0,0.2,0.2,0.1,0.0,0.1
2020-05-02 9:30:00,0.0,0.6,0.6,0.2,0.0,0.1
2020-05-02 9:45:00,0.0,1.8,1.8,0.2,0.0,0.1
2020-05-02 10:0:00,0.0,1.5,1.5,0.2,0.0,0.2
2020-05-02 10:15:00,0.0,3.5,3.5,0.1,0.0,0.1
2020-05-02 10:30:00,0.0,2.7,3.7,1.2,0.0,0.3
2020-05-02 10:45:00,0.0,1.8,3.3,2.0,0.0,0.4
2020-05-02 11:0:00,0.0,3.8,3.9,0.1,0.0,0.0
2020-05-02 11:15:00,0.0,4.3,4.3,0.0,0.0,0.1
2020-05-02 11:30:00,0.0,5.5,5.5,0.0,0.0,0.0
2020-05-02 11:45:00,0.0,6.8,6.9,0.1,0.0,0.0
2020-05-02 12:0:00,0.0,7.0,7.0,0.0,0.0,0.1
2020-05-02 12:15:00,0.0,6.6,6.7,0.1,0.0,0.1
2020-05-02 12:30:00,0.0,6.8,6.8,0.1,0.0,0.1
2020-05-02 12:45:00,0.0,5.5,5.6,0.1,0.0,0.1
2020-05-02 13:0:00,0.0,4.9,4.9,0.1,0.0,0.0
2020-05-02 13:15:00,0.0,4.3,4.3,0.1,0.0,0.0
2020-05-02 13:30:00,0.0,3.7,3.9,0.2,0.1,0.1
2020-05-02 13:45:00,0.0,2.6,4.2,2.0,0.0,0.5
2020-05-02 14:0:00,0.0,3.9,4.6,0.9,0.0,0.2
2020-05-02 14:15:00,0.0,2.4,2.4,0.1,0.0,0.1
2020-05-02 14:30:00,0.0,2.8,2.8,0.1,0.0,0.1
2020-05-02 14:45:00,0.0,2.8,2.8,0.1,0.0,0.1
2020-05-02 15:0:00,0.0,2.6,2.5,0.1,0.0,0.1
2020-05-02 15:15:00,0.0,2.3,2.3,0.2,0.0,0.1
2020-05-02 15:30:00,0.0,2.8,2.9,0.0,0.0,0.0
2020-05-02 15:45:00,0.0,1.2,1.2,0.2,0.0,0.2
2020-05-02 16:0:00,0.0,0.2,0.3,0.2,0.0,0.1
2020-05-02 16:15:00,0.0,0.1,0.1,0.1,0.0,0.1
