date,Production(KWh),Consumption(KWh)
2023-11-29 0:00:00,0.0,8.07
2023-11-29 1:00:00,0.0,7.81
2023-11-29 2:00:00,0.0,7.59
2023-11-29 3:00:00,0.0,9.78
2023-11-29 4:00:00,0.0,9.97
2023-11-29 5:00:00,0.0,9.82
2023-11-29 6:00:00,0.0,9.17
2023-11-29 7:00:00,0.0,9.37
2023-11-29 8:00:00,0.45,9.02
2023-11-29 9:00:00,4.54,8.92
2023-11-29 10:00:00,7.94,9.14
2023-11-29 11:00:00,8.21,8.44
2023-11-29 12:00:00,9.17,8.69
2023-11-29 13:00:00,10.55,8.23
2023-11-29 14:00:00,9.85,8.48
2023-11-29 15:00:00,11.81,8.53
2023-11-29 16:00:00,3.47,8.86
2023-11-29 17:00:00,0.31,10.17
2023-11-29 18:00:00,0.0,10.26
2023-11-29 19:00:00,0.0,10.21
2023-11-29 20:00:00,0.0,10.31
2023-11-29 21:00:00,0.0,10.64
2023-11-29 22:00:00,0.0,10.45
2023-11-29 23:00:00,0.0,11.01
