date,Production(KWh),Consumption(KWh)
2023-08-28 0:00:00,0.0,5.77
2023-08-28 1:00:00,0.0,5.73
2023-08-28 2:00:00,0.0,6.17
2023-08-28 3:00:00,0.0,6.23
2023-08-28 4:00:00,0.0,5.84
2023-08-28 5:00:00,0.0,6.19
2023-08-28 6:00:00,0.09,6.4
2023-08-28 7:00:00,5.38,6.57
2023-08-28 8:00:00,15.54,6.51
2023-08-28 9:00:00,27.59,5.74
2023-08-28 10:00:00,35.09,5.87
2023-08-28 11:00:00,40.08,6.72
2023-08-28 12:00:00,42.74,6.88
2023-08-28 13:00:00,44.56,7.17
2023-08-28 14:00:00,42.35,7.12
2023-08-28 15:00:00,36.25,7.6
2023-08-28 16:00:00,26.85,7.73
2023-08-28 17:00:00,13.7,7.97
2023-08-28 18:00:00,3.21,8.0
2023-08-28 19:00:00,0.73,8.05
2023-08-28 20:00:00,0.0,7.84
2023-08-28 21:00:00,0.0,7.47
2023-08-28 22:00:00,0.0,7.27
2023-08-28 23:00:00,0.0,6.83
