date,Discharge(KW),Charge(KW),Production(KW),Consumption(KW),Feed-in(KW),From grid(KW),State of Charge(%)
2020-03-14 0:00:00,0.0,0.01,0.0,0.59,0.0,0.59,0.0
2020-03-14 1:00:00,0.0,2.39,0.0,0.74,0.0,3.13,0.0
2020-03-14 2:00:00,0.0,3.0,0.0,0.57,0.0,3.57,25.0
2020-03-14 3:00:00,0.0,3.0,0.0,0.49,0.0,3.49,54.0
2020-03-14 4:00:00,0.0,0.24,0.0,0.48,0.0,0.72,83.0
2020-03-14 5:00:00,0.0,0.01,0.0,0.5,0.0,0.51,85.0
2020-03-14 6:00:00,0.0,0.01,0.0,0.51,0.0,0.52,85.0
2020-03-14 7:00:00,0.0,0.01,0.0,0.5,0.0,0.5,85.0
2020-03-14 8:00:00,0.45,0.0,0.0,0.51,0.0,0.06,85.0
2020-03-14 9:00:00,0.64,0.0,0.0,0.68,0.0,0.03,80.0
2020-03-14 10:00:00,0.55,0.0,0.0,0.57,0.0,0.02,72.0
2020-03-14 11:00:00,0.47,0.0,0.0,0.5,0.0,0.03,65.0
2020-03-14 12:00:00,0.77,0.0,0.0,0.8,0.0,0.03,59.0
2020-03-14 13:00:00,0.62,0.0,0.0,0.67,0.0,0.05,49.0
2020-03-14 14:00:00,0.53,0.0,0.0,0.56,0.0,0.03,41.0
2020-03-14 15:00:00,0.48,0.0,0.0,0.51,0.0,0.03,34.0
2020-03-14 16:00:00,0.51,0.0,0.0,0.53,0.0,0.03,28.0
2020-03-14 17:00:00,0.51,0.0,0.0,0.53,0.0,0.03,22.0
2020-03-14 18:00:00,1.18,0.0,0.0,1.21,0.0,0.04,16.0
2020-03-14 19:00:00,0.05,0.01,0.0,1.09,0.0,1.05,1.0
2020-03-14 20:00:00,0.0,0.01,0.0,0.67,0.0,0.68,0.0
2020-03-14 21:00:00,0.0,0.01,0.0,0.87,0.0,0.88,0.0
2020-03-14 22:00:00,0.0,0.01,0.0,0.72,0.0,0.73,0.0
2020-03-14 23:00:00,0.0,0.01,0.0,0.59,0.0,0.59,0.0
