date,Discharge(KW),Charge(KW),Production(KW),Consumption(KW),Feed-in(KW),From grid(KW),State of Charge(%)
2020-07-25 0:00:00,0.0,0.01,0.0,0.62,0.0,0.62,9.0
2020-07-25 1:00:00,0.0,0.01,0.0,0.48,0.0,0.49,9.0
2020-07-25 2:00:00,0.0,0.01,0.0,0.57,0.0,0.58,9.0
2020-07-25 3:00:00,0.0,0.01,0.0,0.52,0.0,0.52,9.0
2020-07-25 4:00:00,0.0,0.01,0.0,0.48,0.0,0.49,9.0
2020-07-25 5:00:00,0.0,0.01,0.0,0.46,0.0,0.47,9.0
2020-07-25 6:00:00,0.0,0.01,0.0,0.44,0.0,0.45,8.0
2020-07-25 7:00:00,0.0,0.01,0.0,0.46,0.0,0.47,8.0
2020-07-25 8:00:00,0.0,0.01,0.0,0.45,0.0,0.46,8.0
2020-07-25 9:00:00,0.0,0.01,0.0,0.44,0.0,0.45,8.0
2020-07-25 10:00:00,0.0,0.01,0.0,0.45,0.0,0.45,8.0
2020-07-25 11:00:00,0.0,0.01,0.0,1.11,0.0,1.12,8.0
2020-07-25 12:00:00,0.01,0.33,0.0,0.73,0.0,1.05,8.0
2020-07-25 13:00:00,0.0,0.01,0.0,0.48,0.0,0.49,10.0
2020-07-25 14:00:00,0.0,0.01,0.0,0.65,0.0,0.65,10.0
2020-07-25 15:00:00,0.0,0.01,0.0,0.5,0.0,0.51,10.0
2020-07-25 16:00:00,0.0,0.01,0.0,1.03,0.0,1.03,10.0
2020-07-25 17:00:00,0.0,0.01,0.0,1.81,0.0,1.82,10.0
2020-07-25 18:00:00,0.0,0.01,0.0,0.99,0.0,1.0,10.0
2020-07-25 19:00:00,0.0,0.01,0.0,0.43,0.0,0.44,10.0
2020-07-25 20:00:00,0.0,0.01,0.0,0.44,0.0,0.45,9.0
2020-07-25 21:00:00,0.0,0.01,0.0,0.44,0.0,0.44,9.0
2020-07-25 22:00:00,0.0,0.01,0.0,0.45,0.0,0.45,9.0
2020-07-25 23:00:00,0.0,0.01,0.0,0.58,0.0,0.59,9.0
