date,Discharge(W),Charge(W),Production(W),Consumption(W),Feed-in(W),From grid(W),State of Charge(%)
2020-10-16 0:0:00,1.68,0.0,0.0,2.15,0.0,0.47,57.0
2020-10-16 0:15:00,33.440000000000005,0.0,1.2700000000000002,42.17000000000001,0.0,7.460000000000001,57.0
2020-10-16 0:30:00,6.08,0.0,0.0,13.260000000000002,0.0,7.179999999999999,57.0
2020-10-16 0:45:00,3.6400000000000006,0.0,0.0,11.060000000000002,0.0,7.42,56.0
2020-10-16 1:0:00,28.8,0.0,0.9,38.279999999999994,0.0,8.579999999999998,56.0
2020-10-16 1:15:00,13.499999999999998,0.0,0.1,21.0,0.0,7.4,56.0
2020-10-16 1:30:00,3.7500000000000004,0.0,0.0,11.34,0.0,7.59,56.0
2020-10-16 1:45:00,14.559999999999999,0.0,0.0,22.380000000000006,0.0,7.82,55.0
2020-10-16 2:0:00,36.55,0.0,1.31,51.34999999999999,0.0,13.490000000000006,55.0
2020-10-16 2:15:00,4.450000000000001,0.0,0.0,11.669999999999998,0.0,7.220000000000001,55.0
2020-10-16 2:30:00,6.2299999999999995,0.0,0.0,14.319999999999999,0.0,8.09,55.0
2020-10-16 2:45:00,26.319999999999997,0.0,0.3,33.879999999999995,0.0,7.26,54.0
2020-10-16 3:0:00,16.21,0.0,0.03,23.700000000000003,0.0,7.46,54.0
2020-10-16 3:15:00,3.63,0.23,0.0,11.4,0.0,8.000000000000002,54.0
2020-10-16 3:30:00,20.25,0.0,0.0,28.3,0.0,8.05,54.0
2020-10-16 3:45:00,19.270000000000003,0.0,0.0,26.740000000000002,0.0,7.470000000000001,53.0
2020-10-16 4:0:00,9.299999999999999,0.4,0.03,16.97,0.0,8.04,53.0
2020-10-16 4:15:00,13.01,0.0,0.0,20.939999999999998,0.0,7.929999999999999,53.0
2020-10-16 4:30:00,11.1,0.0,0.03,18.289999999999996,0.0,7.16,53.0
2020-10-16 4:45:00,23.240000000000006,0.0,0.0,30.8,0.0,7.56,52.0
2020-10-16 5:0:00,7.42,0.0,0.0,15.059999999999999,0.0,7.640000000000001,52.0
2020-10-16 5:15:00,17.520000000000003,0.0,0.0,24.87,0.0,7.35,52.0
2020-10-16 5:30:00,7.88,0.0,0.0,15.540000000000001,0.0,7.660000000000001,51.0
2020-10-16 5:45:00,2.75,2.2099999999999995,0.0,27.729999999999993,0.0,27.190000000000005,51.0
