date,Discharge(KW),Charge(KW),Production(KW),Consumption(KW),Feed-in(KW),From grid(KW),State of Charge(%)
2020-01-27 0:00:00,0.0,0.01,0.0,0.22,0.0,0.23,0.0
2020-01-27 1:00:00,0.0,2.61,0.0,0.23,0.0,2.85,0.0
2020-01-27 2:00:00,0.0,3.0,0.0,0.23,0.0,3.23,26.0
2020-01-27 3:00:00,0.0,3.0,0.0,0.25,0.0,3.25,55.0
2020-01-27 4:00:00,0.0,0.21,0.0,0.28,0.0,0.49,84.0
2020-01-27 5:00:00,0.0,0.01,0.0,0.28,0.0,0.29,86.0
2020-01-27 6:00:00,0.0,0.01,0.0,0.3,0.0,0.3,86.0
2020-01-27 7:00:00,0.02,0.01,0.0,0.48,0.0,0.46,86.0
2020-01-27 8:00:00,0.66,0.0,0.0,0.73,0.0,0.08,86.0
2020-01-27 9:00:00,0.25,0.0,0.0,0.29,0.0,0.03,77.0
2020-01-27 10:00:00,0.28,0.0,0.0,0.32,0.0,0.03,74.0
2020-01-27 11:00:00,0.25,0.0,0.0,0.28,0.0,0.03,71.0
2020-01-27 12:00:00,0.27,0.0,0.0,0.31,0.0,0.03,68.0
2020-01-27 13:00:00,0.38,0.0,0.0,0.43,0.0,0.05,63.0
2020-01-27 14:00:00,0.29,0.0,0.0,0.32,0.0,0.03,58.0
2020-01-27 15:00:00,0.27,0.0,0.0,0.3,0.0,0.03,55.0
2020-01-27 16:00:00,0.72,0.0,0.0,0.74,0.0,0.03,52.0
2020-01-27 17:00:00,0.84,0.0,0.0,0.9,0.0,0.05,42.0
2020-01-27 18:00:00,0.4,0.0,0.0,0.42,0.0,0.03,31.0
2020-01-27 19:00:00,0.66,0.0,0.0,0.68,0.0,0.03,26.0
2020-01-27 20:00:00,1.02,0.0,0.0,1.04,0.0,0.03,18.0
2020-01-27 21:00:00,0.42,0.0,0.0,0.89,0.0,0.47,5.0
2020-01-27 22:00:00,0.0,0.01,0.0,0.91,0.0,0.92,0.0
2020-01-27 23:00:00,0.0,0.01,0.0,1.0,0.0,1.0,0.0
