date,Discharge(KW),Charge(KW),Production(KW),Consumption(KW),Feed-in(KW),From grid(KW),State of Charge(%)
2020-12-20 0:00:00,0.0,0.01,0.0,0.79,0.0,0.8,10.0
2020-12-20 1:00:00,0.0,0.01,0.0,0.06,0.0,0.07,9.0
2020-12-20 2:00:00,0.0,0.01,0.0,0.1,0.0,0.11,9.0
2020-12-20 3:00:00,0.0,0.01,0.0,0.06,0.0,0.07,9.0
2020-12-20 4:00:00,0.0,0.01,0.0,0.09,0.0,0.1,9.0
2020-12-20 5:00:00,0.0,0.01,0.0,0.08,0.0,0.08,9.0
2020-12-20 6:00:00,0.0,0.01,0.0,0.08,0.0,0.08,9.0
2020-12-20 7:00:00,0.0,0.01,0.0,0.09,0.0,0.1,9.0
2020-12-20 8:00:00,0.0,0.01,0.0,0.06,0.0,0.07,9.0
2020-12-20 9:00:00,0.0,0.02,0.02,0.09,0.0,0.09,8.0
2020-12-20 10:00:00,0.0,0.33,0.33,0.07,0.0,0.07,8.0
2020-12-20 11:00:00,0.01,0.37,0.43,0.1,0.0,0.03,10.0
2020-12-20 12:00:00,0.0,0.96,1.0,0.07,0.0,0.03,14.0
2020-12-20 13:00:00,0.0,0.62,0.68,0.1,0.0,0.03,22.0
2020-12-20 14:00:00,0.0,0.14,0.18,0.07,0.0,0.03,29.0
2020-12-20 15:00:00,0.04,0.01,0.04,0.09,0.0,0.03,29.0
2020-12-20 16:00:00,0.06,0.0,0.0,0.08,0.0,0.03,29.0
2020-12-20 17:00:00,1.29,0.0,0.0,1.33,0.0,0.03,27.0
2020-12-20 18:00:00,0.19,0.01,0.0,2.3,0.0,2.11,12.0
2020-12-20 19:00:00,0.0,0.01,0.0,3.2,0.0,3.2,10.0
2020-12-20 20:00:00,0.0,0.01,0.0,4.3,0.0,4.3,10.0
2020-12-20 21:00:00,0.0,0.01,0.0,4.42,0.0,4.43,10.0
2020-12-20 22:00:00,0.0,0.01,0.0,3.8,0.0,3.81,10.0
2020-12-20 23:00:00,0.0,0.01,0.0,3.08,0.0,3.08,10.0
