date,Discharge(KW),Charge(KW),Production(KW),Consumption(KW),Feed-in(KW),From grid(KW),State of Charge(%)
2020-11-04 0:00:00,0.03,0.01,0.0,1.09,0.0,1.07,48.0
2020-11-04 1:00:00,0.0,2.37,0.0,3.61,0.0,5.97,47.0
2020-11-04 2:00:00,0.0,2.5,0.0,3.69,0.0,6.19,71.0
2020-11-04 3:00:00,0.0,0.53,0.0,1.87,0.0,2.4,95.0
2020-11-04 4:00:00,0.0,0.01,0.0,0.68,0.0,0.69,100.0
2020-11-04 5:00:00,0.0,0.01,0.0,0.46,0.0,0.47,100.0
2020-11-04 6:00:00,0.0,0.01,0.0,0.4,0.0,0.41,100.0
2020-11-04 7:00:00,0.16,0.0,0.01,0.23,0.0,0.06,100.0
2020-11-04 8:00:00,0.06,0.0,0.11,0.18,0.0,0.03,97.0
2020-11-04 9:00:00,0.07,0.03,0.2,0.25,0.01,0.02,96.0
2020-11-04 10:00:00,0.49,0.04,0.66,1.33,0.0,0.23,95.0
2020-11-04 11:00:00,0.32,0.26,1.1,1.22,0.01,0.08,89.0
2020-11-04 12:00:00,0.01,1.17,1.57,0.42,0.01,0.03,87.0
2020-11-04 13:00:00,0.0,0.18,1.5,0.06,1.26,0.0,95.0
2020-11-04 14:00:00,0.02,0.01,1.21,0.13,1.09,0.0,100.0
2020-11-04 15:00:00,0.03,0.01,1.0,0.12,0.9,0.0,100.0
2020-11-04 16:00:00,0.17,0.02,0.6,0.44,0.4,0.09,100.0
2020-11-04 17:00:00,0.63,0.0,0.2,1.13,0.0,0.3,96.0
2020-11-04 18:00:00,0.4,0.0,0.09,0.55,0.0,0.06,88.0
2020-11-04 19:00:00,0.25,0.0,0.06,0.35,0.0,0.04,83.0
2020-11-04 20:00:00,0.37,0.0,0.0,0.42,0.0,0.04,80.0
2020-11-04 21:00:00,0.5,0.0,0.0,0.54,0.0,0.04,74.0
2020-11-04 22:00:00,0.53,0.0,0.0,0.58,0.0,0.04,68.0
2020-11-04 23:00:00,0.43,0.0,0.0,0.47,0.0,0.04,62.0
