date,Discharge(W),Charge(W),Production(W),Consumption(W)
2020-07-22 0:00:00,0.0,0.0,0.0,0.1
2020-07-22 1:00:00,0.0,0.0,0.0,0.1
2020-07-22 2:00:00,0.0,0.0,0.0,0.1
2020-07-22 3:00:00,0.0,0.0,0.0,0.0
2020-07-22 4:00:00,0.0,0.0,0.0,0.1
2020-07-22 5:00:00,0.0,0.0,0.0,0.1
2020-07-22 6:00:00,0.0,0.0,0.0,0.1
2020-07-22 7:00:00,0.0,0.0,0.0,1.7
2020-07-22 8:00:00,0.4,0.0,0.1,0.5
2020-07-22 9:00:00,0.3,0.2,0.3,0.4
2020-07-22 10:00:00,0.3,0.1,0.3,0.5
2020-07-22 11:00:00,0.2,0.1,0.3,0.4
2020-07-22 12:00:00,0.9,0.3,0.6,1.3
2020-07-22 13:00:00,0.0,1.0,1.0,0.1
2020-07-22 14:00:00,0.0,1.4,1.4,0.0
2020-07-22 15:00:00,0.0,1.4,1.5,0.1
2020-07-22 16:00:00,0.0,1.1,1.1,0.1
2020-07-22 17:00:00,0.0,0.5,0.5,0.0
2020-07-22 18:00:00,0.0,0.3,0.4,0.0
2020-07-22 19:00:00,0.0,0.0,0.1,0.0
2020-07-22 20:00:00,0.0,0.0,0.0,0.0
2020-07-22 21:00:00,0.0,0.0,0.0,0.0
2020-07-22 22:00:00,0.0,0.0,0.0,0.0
2020-07-22 23:00:00,0.0,0.0,0.0,0.0
