date,Discharge(W),Charge(W),Production(W),Consumption(W)
2020-07-27 0:00:00,0.0,0.0,0.0,0.0
2020-07-27 1:00:00,0.0,0.0,0.0,0.0
2020-07-27 2:00:00,0.0,0.0,0.0,0.0
2020-07-27 3:00:00,0.0,0.0,0.0,0.0
2020-07-27 4:00:00,0.0,0.0,0.0,0.0
2020-07-27 5:00:00,0.0,0.0,0.0,0.0
2020-07-27 6:00:00,0.0,0.0,0.0,0.0
2020-07-27 7:00:00,0.0,0.0,0.0,0.0
2020-07-27 8:00:00,0.0,0.1,0.1,0.0
2020-07-27 9:00:00,0.0,0.3,0.4,0.0
2020-07-27 10:00:00,0.0,0.9,1.0,0.0
2020-07-27 11:00:00,0.0,0.0,1.6,0.1
2020-07-27 12:00:00,0.0,0.0,1.3,0.1
2020-07-27 13:00:00,0.0,0.0,1.4,0.1
2020-07-27 14:00:00,0.0,0.0,1.6,0.0
2020-07-27 15:00:00,0.0,0.0,1.4,0.1
2020-07-27 16:00:00,0.0,0.0,1.0,0.1
2020-07-27 17:00:00,0.0,0.1,0.6,0.1
2020-07-27 18:00:00,0.0,0.0,0.3,0.0
2020-07-27 19:00:00,0.0,0.0,0.2,0.1
2020-07-27 20:00:00,0.0,0.0,0.0,0.0
2020-07-27 21:00:00,0.0,0.0,0.0,0.0
2020-07-27 22:00:00,0.0,0.0,0.0,0.0
2020-07-27 23:00:00,0.1,0.0,0.0,0.2
