date,Discharge(W),Charge(W),Production(W),Consumption(W)
2020-04-20 0:00:00,0.0,0.0,0.0,0.0
2020-04-20 1:00:00,0.0,0.0,0.0,0.1
2020-04-20 2:00:00,0.0,0.0,0.0,0.0
2020-04-20 3:00:00,0.0,0.0,0.0,0.0
2020-04-20 4:00:00,0.0,0.0,0.0,0.1
2020-04-20 5:00:00,0.0,0.0,0.0,0.0
2020-04-20 6:00:00,0.0,0.0,0.0,0.1
2020-04-20 7:00:00,0.0,0.2,0.2,0.0
2020-04-20 8:00:00,0.0,0.1,0.8,0.1
2020-04-20 9:00:00,0.0,0.0,0.9,1.1
2020-04-20 10:00:00,0.0,0.0,1.7,1.3
2020-04-20 11:00:00,0.0,0.0,1.7,1.5
2020-04-20 12:00:00,0.0,0.0,1.7,0.6
2020-04-20 13:00:00,0.0,0.0,1.4,0.9
2020-04-20 14:00:00,0.0,0.1,1.4,0.2
2020-04-20 15:00:00,0.0,0.0,1.0,0.4
2020-04-20 16:00:00,0.0,0.0,0.5,0.2
2020-04-20 17:00:00,0.0,0.0,0.5,0.2
2020-04-20 18:00:00,0.0,0.0,0.3,2.0
2020-04-20 19:00:00,0.0,0.0,0.1,2.0
2020-04-20 20:00:00,0.0,0.0,0.0,0.9
2020-04-20 21:00:00,0.0,0.0,0.0,0.4
2020-04-20 22:00:00,0.0,0.0,0.0,0.7
2020-04-20 23:00:00,0.0,0.0,0.0,0.6
