date,Discharge(W),Charge(W),Production(W),Consumption(W)
2020-12-15 0:00:00,0.0,0.0,0.0,0.0
2020-12-15 1:00:00,0.0,0.0,0.0,0.1
2020-12-15 2:00:00,0.1,0.0,0.0,0.0
2020-12-15 3:00:00,0.4,0.8,0.0,0.0
2020-12-15 4:00:00,0.0,0.0,0.0,0.1
2020-12-15 5:00:00,0.0,0.9,0.0,0.0
2020-12-15 6:00:00,0.0,2.0,0.0,0.1
2020-12-15 7:00:00,0.0,1.8,0.0,0.0
2020-12-15 8:00:00,0.3,0.1,0.0,0.3
2020-12-15 9:00:00,0.5,0.0,0.1,0.8
2020-12-15 10:00:00,0.2,0.2,0.4,0.4
2020-12-15 11:00:00,0.4,0.6,0.9,1.3
2020-12-15 12:00:00,0.1,0.2,0.3,0.2
2020-12-15 13:00:00,0.1,0.0,0.1,0.2
2020-12-15 14:00:00,0.5,0.0,0.1,0.6
2020-12-15 15:00:00,0.6,0.0,0.0,0.7
2020-12-15 16:00:00,0.7,0.0,0.0,0.7
2020-12-15 17:00:00,1.1,0.0,0.0,1.1
2020-12-15 18:00:00,0.1,0.0,0.0,1.3
2020-12-15 19:00:00,0.0,0.0,0.0,0.5
2020-12-15 20:00:00,0.0,0.0,0.0,0.5
2020-12-15 21:00:00,0.0,0.0,0.0,0.5
2020-12-15 22:00:00,0.0,0.0,0.0,0.5
2020-12-15 23:00:00,0.0,0.0,0.0,0.2
