date,Discharge(W),Charge(W),Production(W),Consumption(W)
2020-09-05 0:00:00,0.0,0.0,0.0,0.4
2020-09-05 1:00:00,0.0,2.3,0.0,0.1
2020-09-05 2:00:00,0.0,1.4,0.0,0.1
2020-09-05 3:00:00,0.0,0.0,0.0,0.1
2020-09-05 4:00:00,0.0,0.0,0.0,0.1
2020-09-05 5:00:00,0.0,0.0,0.0,0.1
2020-09-05 6:00:00,0.0,0.0,0.0,0.1
2020-09-05 7:00:00,0.1,0.2,0.3,0.2
2020-09-05 8:00:00,0.0,0.1,0.4,0.0
2020-09-05 9:00:00,0.0,0.0,1.0,0.0
2020-09-05 10:00:00,1.5,0.0,1.4,3.2
2020-09-05 11:00:00,0.8,0.3,1.5,2.2
2020-09-05 12:00:00,0.0,1.2,1.5,0.3
2020-09-05 13:00:00,0.0,1.4,1.7,0.2
2020-09-05 14:00:00,0.0,0.0,1.6,0.2
2020-09-05 15:00:00,0.0,0.0,1.3,0.1
2020-09-05 16:00:00,0.0,0.0,1.0,0.1
2020-09-05 17:00:00,0.5,0.1,0.5,0.9
2020-09-05 18:00:00,1.8,0.0,0.2,2.1
2020-09-05 19:00:00,0.5,0.0,0.1,0.6
2020-09-05 20:00:00,0.0,0.0,0.0,0.1
2020-09-05 21:00:00,2.3,0.0,0.0,2.4
2020-09-05 22:00:00,2.8,0.0,0.0,3.0
2020-09-05 23:00:00,0.0,0.0,0.0,2.7
