date,Discharge(W),Charge(W),Production(W),Consumption(W)
2020-06-02 0:00:00,0.0,0.0,0.0,0.0
2020-06-02 1:00:00,0.0,0.0,0.0,0.0
2020-06-02 2:00:00,0.0,0.0,0.0,0.0
2020-06-02 3:00:00,0.0,0.0,0.0,0.0
2020-06-02 4:00:00,0.0,0.0,0.0,0.0
2020-06-02 5:00:00,0.0,0.0,0.0,0.0
2020-06-02 6:00:00,0.0,0.0,0.0,0.0
2020-06-02 7:00:00,0.0,0.0,0.0,0.0
2020-06-02 8:00:00,0.0,0.0,0.0,0.1
2020-06-02 9:00:00,0.0,0.0,0.0,0.0
2020-06-02 10:00:00,0.0,0.0,0.0,0.0
2020-06-02 11:00:00,0.0,0.0,0.0,0.0
2020-06-02 12:00:00,0.0,0.0,0.0,0.0
2020-06-02 13:00:00,0.0,0.0,0.0,0.0
2020-06-02 14:00:00,0.0,0.0,0.0,0.0
2020-06-02 15:00:00,0.0,0.0,0.0,0.1
2020-06-02 16:00:00,0.0,0.0,0.0,0.0
2020-06-02 17:00:00,0.0,0.0,0.0,0.0
2020-06-02 18:00:00,0.0,0.0,0.0,0.0
2020-06-02 19:00:00,0.0,0.0,0.0,0.0
2020-06-02 20:00:00,0.0,0.0,0.0,0.0
2020-06-02 21:00:00,0.0,0.0,0.0,0.0
2020-06-02 22:00:00,0.0,0.0,0.0,0.0
2020-06-02 23:00:00,0.0,0.0,0.0,0.0
