date,Discharge(W),Charge(W),Production(W),Consumption(W)
2020-06-28 0:00:00,0.0,0.0,0.0,0.0
2020-06-28 1:00:00,0.0,0.0,0.0,0.1
2020-06-28 2:00:00,0.0,0.0,0.0,0.0
2020-06-28 3:00:00,0.0,0.0,0.0,0.1
2020-06-28 4:00:00,0.0,0.0,0.0,0.0
2020-06-28 5:00:00,0.0,0.0,0.0,0.0
2020-06-28 6:00:00,0.0,0.0,0.0,0.0
2020-06-28 7:00:00,0.0,0.1,0.1,0.0
2020-06-28 8:00:00,0.0,0.3,0.3,0.0
2020-06-28 9:00:00,0.0,0.3,0.3,0.0
2020-06-28 10:00:00,0.0,0.0,0.7,0.1
2020-06-28 11:00:00,0.0,0.0,0.5,0.0
2020-06-28 12:00:00,0.0,0.0,1.7,0.1
2020-06-28 13:00:00,0.0,0.0,1.4,0.0
2020-06-28 14:00:00,0.0,0.0,1.0,0.1
2020-06-28 15:00:00,0.0,0.0,0.4,0.0
2020-06-28 16:00:00,0.0,0.0,0.6,0.0
2020-06-28 17:00:00,0.0,0.1,0.6,0.1
2020-06-28 18:00:00,0.0,0.0,0.4,0.0
2020-06-28 19:00:00,0.0,0.0,0.2,0.1
2020-06-28 20:00:00,0.0,0.0,0.0,0.0
2020-06-28 21:00:00,0.0,0.0,0.0,0.1
2020-06-28 22:00:00,0.0,0.0,0.0,0.0
2020-06-28 23:00:00,0.0,0.0,0.0,0.1
