date,Discharge(W),Charge(W),Production(W),Consumption(W)
2020-07-18 0:00:00,0.0,0.0,0.0,0.0
2020-07-18 1:00:00,0.0,0.0,0.0,0.0
2020-07-18 2:00:00,0.0,0.0,0.0,0.0
2020-07-18 3:00:00,0.0,0.0,0.0,0.0
2020-07-18 4:00:00,0.0,0.0,0.0,0.0
2020-07-18 5:00:00,0.0,0.0,0.0,0.0
2020-07-18 6:00:00,0.0,0.0,0.0,0.0
2020-07-18 7:00:00,0.0,0.0,0.0,0.0
2020-07-18 8:00:00,0.0,0.1,0.1,0.0
2020-07-18 9:00:00,0.0,0.7,0.7,0.0
2020-07-18 10:00:00,0.0,0.0,1.5,0.1
2020-07-18 11:00:00,0.0,0.0,1.5,0.2
2020-07-18 12:00:00,0.0,0.0,1.5,0.2
2020-07-18 13:00:00,0.1,0.0,1.7,0.4
2020-07-18 14:00:00,0.1,0.2,1.7,0.4
2020-07-18 15:00:00,0.2,0.0,1.4,0.4
2020-07-18 16:00:00,0.2,0.3,1.2,1.2
2020-07-18 17:00:00,1.6,0.1,0.7,2.4
2020-07-18 18:00:00,2.5,0.0,0.3,3.3
2020-07-18 19:00:00,1.0,0.0,0.1,1.1
2020-07-18 20:00:00,1.9,0.0,0.1,2.7
2020-07-18 21:00:00,0.0,0.0,0.0,3.7
2020-07-18 22:00:00,0.0,0.0,0.0,3.8
2020-07-18 23:00:00,0.0,0.0,0.0,3.9
