date,Discharge(W),Charge(W),Production(W),Consumption(W)
2020-07-20 0:00:00,0.1,0.0,0.0,0.1
2020-07-20 1:00:00,0.1,0.0,0.0,0.1
2020-07-20 2:00:00,0.1,0.0,0.0,0.1
2020-07-20 3:00:00,0.1,0.0,0.0,0.1
2020-07-20 4:00:00,0.1,0.0,0.0,0.1
2020-07-20 5:00:00,0.1,0.0,0.0,0.1
2020-07-20 6:00:00,0.0,0.1,0.0,0.1
2020-07-20 7:00:00,0.0,0.4,0.4,1.8
2020-07-20 8:00:00,0.4,0.3,0.7,1.1
2020-07-20 9:00:00,0.2,0.6,1.3,0.9
2020-07-20 10:00:00,0.1,0.4,1.0,0.7
2020-07-20 11:00:00,0.0,1.1,1.3,0.3
2020-07-20 12:00:00,0.1,0.7,1.6,0.6
2020-07-20 13:00:00,0.0,0.1,1.6,0.6
2020-07-20 14:00:00,0.1,0.1,1.6,0.3
2020-07-20 15:00:00,0.0,0.0,1.4,0.1
2020-07-20 16:00:00,0.0,0.0,1.0,0.2
2020-07-20 17:00:00,0.1,0.2,0.7,0.2
2020-07-20 18:00:00,1.3,0.0,0.2,1.5
2020-07-20 19:00:00,1.5,0.0,0.1,1.6
2020-07-20 20:00:00,0.0,0.0,0.0,0.1
2020-07-20 21:00:00,0.1,0.0,0.0,0.1
2020-07-20 22:00:00,0.2,0.0,0.0,0.2
2020-07-20 23:00:00,0.1,0.0,0.0,0.1
