date,Discharge(W),Charge(W),Production(W),Consumption(W)
2020-05-19 0:00:00,0.0,0.0,0.0,0.1
2020-05-19 1:00:00,0.0,1.0,0.0,0.1
2020-05-19 2:00:00,0.0,1.0,0.0,0.0
2020-05-19 3:00:00,0.0,0.9,0.0,0.1
2020-05-19 4:00:00,0.0,0.1,0.0,0.0
2020-05-19 5:00:00,0.0,0.0,0.0,0.1
2020-05-19 6:00:00,0.0,0.0,0.0,0.0
2020-05-19 7:00:00,0.0,0.1,0.1,0.0
2020-05-19 8:00:00,0.1,0.2,0.3,0.2
2020-05-19 9:00:00,0.7,0.2,0.6,1.2
2020-05-19 10:00:00,0.0,0.8,1.0,0.2
2020-05-19 11:00:00,0.0,0.7,0.8,0.1
2020-05-19 12:00:00,0.6,0.4,0.9,1.2
2020-05-19 13:00:00,1.6,0.0,1.6,3.3
2020-05-19 14:00:00,0.6,0.6,1.3,1.3
2020-05-19 15:00:00,0.0,1.2,1.2,0.1
2020-05-19 16:00:00,0.0,0.9,1.0,0.1
2020-05-19 17:00:00,0.1,0.5,0.5,0.2
2020-05-19 18:00:00,2.7,0.0,0.3,4.0
2020-05-19 19:00:00,0.3,0.0,0.1,1.5
2020-05-19 20:00:00,0.0,0.0,0.0,0.5
2020-05-19 21:00:00,0.0,0.0,0.0,0.6
2020-05-19 22:00:00,0.0,0.0,0.0,0.4
2020-05-19 23:00:00,0.0,0.0,0.0,0.3
