date,Discharge(W),Charge(W),Production(W),Consumption(W)
2020-01-31 0:00:00,0.0,0.0,0.0,0.1
2020-01-31 1:00:00,0.0,0.0,0.0,0.0
2020-01-31 2:00:00,0.0,0.0,0.0,0.0
2020-01-31 3:00:00,0.0,0.0,0.0,0.0
2020-01-31 4:00:00,0.0,0.0,0.0,0.0
2020-01-31 5:00:00,0.0,0.0,0.0,0.0
2020-01-31 6:00:00,0.0,0.0,0.0,0.0
2020-01-31 7:00:00,0.0,0.0,0.0,0.0
2020-01-31 8:00:00,0.0,0.0,0.0,0.1
2020-01-31 9:00:00,0.0,0.2,0.2,0.0
2020-01-31 10:00:00,0.0,0.2,0.2,0.0
2020-01-31 11:00:00,0.0,0.0,0.0,0.1
2020-01-31 12:00:00,0.0,0.1,0.1,0.0
2020-01-31 13:00:00,0.0,0.1,0.1,0.0
2020-01-31 14:00:00,0.0,0.0,0.1,0.1
2020-01-31 15:00:00,0.0,0.1,0.1,0.0
2020-01-31 16:00:00,0.0,0.0,0.0,0.0
2020-01-31 17:00:00,0.0,0.0,0.0,0.0
2020-01-31 18:00:00,0.0,0.0,0.0,0.0
2020-01-31 19:00:00,0.0,0.0,0.0,0.1
2020-01-31 20:00:00,0.0,0.0,0.0,0.0
2020-01-31 21:00:00,0.0,0.0,0.0,0.0
2020-01-31 22:00:00,0.0,0.0,0.0,0.1
2020-01-31 23:00:00,0.0,0.0,0.0,0.0
