date,Discharge(KW),Charge(KW),Production(KW),Consumption(KW),Feed-in(KW),From grid(KW),State of Charge(%)
2020-06-24 0:00:00,0.0,0.01,0.0,0.19,0.0,0.2,9.0
2020-06-24 1:00:00,0.0,0.01,0.0,0.37,0.0,0.37,9.0
2020-06-24 2:00:00,0.0,0.01,0.0,0.21,0.0,0.22,9.0
2020-06-24 3:00:00,0.0,0.01,0.0,0.29,0.0,0.3,9.0
2020-06-24 4:00:00,0.0,0.01,0.0,0.24,0.0,0.25,9.0
2020-06-24 5:00:00,0.0,1.32,0.0,0.26,0.0,1.58,8.0
2020-06-24 6:00:00,0.0,3.3,0.0,0.04,0.0,3.34,20.0
2020-06-24 7:00:00,0.0,3.3,0.0,0.01,0.0,3.31,51.0
2020-06-24 8:00:00,0.35,0.3,0.0,0.39,0.0,0.34,83.0
2020-06-24 9:00:00,0.14,0.0,0.0,0.17,0.0,0.03,81.0
2020-06-24 10:00:00,0.37,0.0,0.0,0.38,0.0,0.02,78.0
2020-06-24 11:00:00,0.19,0.0,0.0,0.22,0.0,0.02,74.0
2020-06-24 12:00:00,0.86,0.0,0.0,0.97,0.0,0.12,71.0
2020-06-24 13:00:00,0.41,0.0,0.0,0.43,0.0,0.02,63.0
2020-06-24 14:00:00,0.23,0.0,0.0,0.26,0.0,0.03,57.0
2020-06-24 15:00:00,0.56,0.0,0.0,0.59,0.0,0.03,54.0
2020-06-24 16:00:00,0.25,0.0,0.0,0.28,0.0,0.02,46.0
2020-06-24 17:00:00,0.32,0.0,0.0,0.35,0.0,0.03,42.0
2020-06-24 18:00:00,0.97,0.0,0.0,1.1,0.0,0.13,38.0
2020-06-24 19:00:00,0.34,0.0,0.0,0.36,0.0,0.02,26.0
2020-06-24 20:00:00,1.01,0.0,0.0,1.33,0.0,0.33,23.0
2020-06-24 21:00:00,0.01,0.01,0.0,1.32,0.0,1.32,10.0
2020-06-24 22:00:00,0.0,0.01,0.0,1.6,0.0,1.61,10.0
2020-06-24 23:00:00,0.0,0.01,0.0,0.44,0.0,0.45,10.0
