date,Discharge(KW),Charge(KW),Production(KW),Consumption(KW),Feed-in(KW),From grid(KW),State of Charge(%)
2020-04-21 0:00:00,0.0,0.01,0.0,0.41,0.0,0.42,0.0
2020-04-21 1:00:00,0.0,2.7,0.0,0.02,0.0,2.72,0.0
2020-04-21 2:00:00,0.0,3.0,0.0,0.02,0.0,3.02,25.0
2020-04-21 3:00:00,0.0,3.0,0.0,0.06,0.0,3.06,54.0
2020-04-21 4:00:00,0.0,0.06,0.0,0.32,0.0,0.37,83.0
2020-04-21 5:00:00,0.0,0.01,0.0,0.31,0.0,0.31,84.0
2020-04-21 6:00:00,0.0,0.01,0.0,0.35,0.0,0.36,83.0
2020-04-21 7:00:00,0.0,0.01,0.0,0.2,0.0,0.21,83.0
2020-04-21 8:00:00,0.31,0.0,0.0,0.36,0.0,0.05,83.0
2020-04-21 9:00:00,0.27,0.0,0.0,0.29,0.0,0.03,78.0
2020-04-21 10:00:00,0.56,0.0,0.0,0.66,0.0,0.1,75.0
2020-04-21 11:00:00,0.56,0.0,0.0,0.66,0.0,0.1,69.0
2020-04-21 12:00:00,0.57,0.0,0.0,0.66,0.0,0.09,63.0
2020-04-21 13:00:00,1.05,0.0,0.0,1.27,0.0,0.22,57.0
2020-04-21 14:00:00,0.57,0.0,0.0,0.6,0.0,0.03,43.0
2020-04-21 15:00:00,1.86,0.0,0.0,1.99,0.0,0.15,35.0
2020-04-21 16:00:00,1.05,0.0,0.0,1.83,0.0,0.79,13.0
2020-04-21 17:00:00,0.0,0.01,0.0,0.67,0.0,0.68,0.0
2020-04-21 18:00:00,0.0,0.01,0.0,1.9,0.0,1.91,0.0
2020-04-21 19:00:00,0.0,0.01,0.0,1.3,0.0,1.3,0.0
2020-04-21 20:00:00,0.0,0.01,0.0,1.17,0.0,1.17,0.0
2020-04-21 21:00:00,0.0,0.01,0.0,2.11,0.0,2.11,0.0
2020-04-21 22:00:00,0.0,0.01,0.0,1.01,0.0,1.02,0.0
2020-04-21 23:00:00,0.0,0.01,0.0,0.44,0.0,0.45,0.0
