date,Production(KWh),Consumption(KWh)
2023-10-26 0:00:00,0.0,8.43
2023-10-26 1:00:00,0.0,8.25
2023-10-26 2:00:00,0.0,8.25
2023-10-26 3:00:00,0.0,8.08
2023-10-26 4:00:00,0.0,7.62
2023-10-26 5:00:00,0.0,7.32
2023-10-26 6:00:00,0.0,7.29
2023-10-26 7:00:00,0.79,7.48
2023-10-26 8:00:00,3.77,7.74
2023-10-26 9:00:00,18.29,8.29
2023-10-26 10:00:00,28.97,9.24
2023-10-26 11:00:00,34.8,9.8
2023-10-26 12:00:00,32.68,10.1
2023-10-26 13:00:00,35.12,10.33
2023-10-26 14:00:00,31.04,12.59
2023-10-26 15:00:00,18.15,12.9
2023-10-26 16:00:00,8.87,13.27
2023-10-26 17:00:00,2.02,13.71
2023-10-26 18:00:00,0.68,13.81
2023-10-26 19:00:00,0.0,13.68
2023-10-26 20:00:00,0.0,13.35
2023-10-26 21:00:00,0.0,12.68
2023-10-26 22:00:00,0.0,11.62
2023-10-26 23:00:00,0.0,10.58
