date,Production(KWh),Consumption(KWh)
2023-10-28 0:00:00,0.0,8.17
2023-10-28 1:00:00,0.0,8.14
2023-10-28 2:00:00,0.0,8.15
2023-10-28 3:00:00,0.0,7.97
2023-10-28 4:00:00,0.0,7.6
2023-10-28 5:00:00,0.0,7.39
2023-10-28 6:00:00,0.0,7.36
2023-10-28 7:00:00,1.39,7.38
2023-10-28 8:00:00,3.37,7.47
2023-10-28 9:00:00,19.32,7.5
2023-10-28 10:00:00,34.31,7.78
2023-10-28 11:00:00,38.08,8.24
2023-10-28 12:00:00,39.03,7.94
2023-10-28 13:00:00,38.19,8.57
2023-10-28 14:00:00,33.01,9.09
2023-10-28 15:00:00,22.15,9.47
2023-10-28 16:00:00,12.59,9.81
2023-10-28 17:00:00,1.54,9.97
2023-10-28 18:00:00,0.0,9.9
2023-10-28 19:00:00,0.0,9.74
2023-10-28 20:00:00,0.0,9.89
2023-10-28 21:00:00,0.0,10.16
2023-10-28 22:00:00,0.0,10.07
2023-10-28 23:00:00,0.0,9.67
