date,Discharge(W),Charge(W),Production(W),Consumption(W),Feed-in(W),From grid(W),State of Charge(%)
2020-10-29 0:0:00,4.65,0.0,0.0,5.2,0.0,0.55,20.0
2020-10-29 0:15:00,62.05999999999999,0.0,0.0,70.11000000000001,0.0,8.05,20.0
2020-10-29 0:30:00,73.36,0.0,0.0,88.675,0.0,15.314999999999998,19.0
2020-10-29 0:45:00,73.13,0.0,0.0,79.19,0.0,6.0600000000000005,18.0
2020-10-29 1:0:00,82.37,0.0,0.0,88.42999999999999,0.0,6.06,17.0
2020-10-29 1:15:00,83.86999999999999,0.0,0.0,89.80999999999999,0.0,5.94,16.0
2020-10-29 1:30:00,54.47000000000001,0.0,0.0,60.59999999999998,0.0,6.13,15.0
2020-10-29 1:45:00,42.35999999999999,0.0,0.0,49.49,0.0,7.13,14.0
2020-10-29 2:0:00,25.700000000000003,0.0,0.0,33.559999999999995,0.0,7.8599999999999985,14.0
2020-10-29 2:15:00,20.07,0.0,0.0,28.160000000000004,0.0,8.090000000000002,13.0
2020-10-29 2:30:00,20.270000000000003,0.0,0.0,28.35,0.0,8.079999999999998,13.0
2020-10-29 2:45:00,35.269999999999996,0.0,0.0,42.85,0.0,7.58,13.0
2020-10-29 3:0:00,24.64,0.0,0.0,32.849999999999994,0.0,8.209999999999999,12.0
2020-10-29 3:15:00,19.42,0.0,0.0,27.580000000000002,0.0,8.16,12.0
2020-10-29 3:30:00,9.25,0.0,0.0,18.270000000000003,0.0,9.019999999999998,11.0
2020-10-29 3:45:00,4.59,0.0,0.0,13.29,0.0,8.700000000000001,11.0
2020-10-29 4:0:00,19.980000000000004,0.0,0.0,28.42,0.0,8.440000000000001,11.0
2020-10-29 4:15:00,0.47,1.7400000000000002,0.0,12.7,0.0,13.97,10.0
2020-10-29 4:30:00,0.0,1.8899999999999997,0.0,11.919999999999998,0.0,13.809999999999999,10.0
2020-10-29 4:45:00,0.0,1.92,0.0,11.370000000000001,0.0,13.29,10.0
2020-10-29 5:0:00,0.0,1.9299999999999997,0.0,13.51,0.0,15.44,10.0
2020-10-29 5:15:00,0.0,1.9499999999999993,0.0,25.370000000000005,0.0,27.32,10.0
2020-10-29 5:30:00,0.0,1.9,0.0,11.170000000000002,0.0,13.069999999999999,10.0
2020-10-29 5:45:00,0.0,564.44,0.0,21.47,0.0,585.9100000000001,10.0
2020-10-29 6:0:00,0.0,825.0,0.0,35.25,0.0,860.2500000000002,15.0
2020-10-29 6:15:00,0.0,825.0,0.0,39.230000000000004,0.0,864.23,23.0
2020-10-29 6:30:00,0.0,825.0,0.0,49.89,0.0,874.89,30.0
2020-10-29 6:45:00,0.0,825.04,0.0,36.27,0.0,861.3100000000001,38.0
2020-10-29 7:0:00,0.0,825.02,0.0,36.269999999999996,0.0,861.2900000000001,45.0
2020-10-29 7:15:00,0.0,825.0,0.0,40.980000000000004,0.0,865.9799999999999,53.0
2020-10-29 7:30:00,0.0,825.02,0.0,41.15,0.0,866.1700000000001,60.0
2020-10-29 7:45:00,0.0,825.0,0.0,51.459999999999994,0.0,876.4600000000002,68.0
2020-10-29 8:0:00,0.0,825.06,0.0,37.28,0.0,862.3399999999998,76.0
2020-10-29 8:15:00,14.950000000000001,114.79,0.0,29.279999999999998,0.0,129.11999999999995,85.0
2020-10-29 8:30:00,18.86,0.0,0.0,26.89,0.0,8.030000000000001,86.0
2020-10-29 8:45:00,199.46,0.0,0.0,215.11,0.0,16.069999999999997,86.0
2020-10-29 9:0:00,42.27999999999999,0.0,0.0,53.51999999999999,0.0,11.240000000000002,83.0
2020-10-29 9:15:00,10.01,0.0,0.0,18.610000000000003,0.0,8.6,83.0
2020-10-29 9:30:00,6.749999999999998,0.0,0.0,14.98,0.0,8.23,82.0
2020-10-29 9:45:00,1.72,0.08,0.0,11.319999999999999,0.0,9.68,82.0
