date,Production(KWh),Consumption(KWh)
2023-11-29 0:00:00,0.0,8.6
2023-11-29 1:00:00,0.0,7.9
2023-11-29 2:00:00,0.0,7.7
2023-11-29 3:00:00,0.0,15.4
2023-11-29 4:00:00,0.0,14.8
2023-11-29 5:00:00,0.0,14.0
2023-11-29 6:00:00,0.0,13.4
2023-11-29 7:00:00,0.0,12.7
2023-11-29 8:00:00,1.2,12.3
2023-11-29 9:00:00,2.3,11.9
2023-11-29 10:00:00,6.3,11.2
2023-11-29 11:00:00,10.3,10.3
2023-11-29 12:00:00,24.2,9.3
2023-11-29 13:00:00,16.8,8.8
2023-11-29 14:00:00,15.9,9.1
2023-11-29 15:00:00,11.8,9.6
2023-11-29 16:00:00,4.4,10.2
2023-11-29 17:00:00,0.8,10.7
2023-11-29 18:00:00,0.0,11.2
2023-11-29 19:00:00,0.0,11.7
2023-11-29 20:00:00,0.0,12.0
2023-11-29 21:00:00,0.0,12.5
2023-11-29 22:00:00,0.0,13.1
2023-11-29 23:00:00,0.0,13.8
