date,Production(KWh),Consumption(KWh)
2023-10-26 0:00:00,0.0,9.17
2023-10-26 1:00:00,0.0,9.07
2023-10-26 2:00:00,0.0,6.58
2023-10-26 3:00:00,0.0,8.72
2023-10-26 4:00:00,0.0,7.2
2023-10-26 5:00:00,0.0,7.02
2023-10-26 6:00:00,0.0,6.92
2023-10-26 7:00:00,0.27,5.85
2023-10-26 8:00:00,5.2,6.88
2023-10-26 9:00:00,22.44,6.81
2023-10-26 10:00:00,32.88,6.8
2023-10-26 11:00:00,37.92,12.74
2023-10-26 12:00:00,40.22,12.16
2023-10-26 13:00:00,38.6,11.59
2023-10-26 14:00:00,33.98,10.32
2023-10-26 15:00:00,26.31,9.47
2023-10-26 16:00:00,14.97,8.62
2023-10-26 17:00:00,3.51,10.08
2023-10-26 18:00:00,0.03,9.98
2023-10-26 19:00:00,0.0,2.58
2023-10-26 20:00:00,0.0,9.99
2023-10-26 21:00:00,0.0,7.2
2023-10-26 22:00:00,0.0,10.32
2023-10-26 23:00:00,0.0,9.57
