date,Production(KWh),Consumption(KWh)
2023-10-21 0:00:00,0.0,6.59
2023-10-21 1:00:00,0.0,6.93
2023-10-21 2:00:00,0.0,6.97
2023-10-21 3:00:00,0.0,5.62
2023-10-21 4:00:00,0.0,6.9
2023-10-21 5:00:00,0.0,6.93
2023-10-21 6:00:00,0.0,6.86
2023-10-21 7:00:00,0.26,5.29
2023-10-21 8:00:00,7.91,6.98
2023-10-21 9:00:00,25.79,6.5
2023-10-21 10:00:00,35.29,6.85
2023-10-21 11:00:00,39.64,6.32
2023-10-21 12:00:00,41.32,5.98
2023-10-21 13:00:00,41.79,6.83
2023-10-21 14:00:00,38.56,5.9
2023-10-21 15:00:00,26.9,5.97
2023-10-21 16:00:00,18.17,6.67
2023-10-21 17:00:00,3.1,7.38
2023-10-21 18:00:00,0.16,6.4
2023-10-21 19:00:00,0.0,4.92
2023-10-21 20:00:00,0.0,6.98
2023-10-21 21:00:00,0.0,9.8
2023-10-21 22:00:00,0.0,6.87
2023-10-21 23:00:00,0.0,4.9
