date,Discharge(KW),Charge(KW),Production(KW),Consumption(KW),Feed-in(KW),From grid(KW),State of Charge(%)
2020-03-04 0:00:00,0.0,0.01,0.0,0.29,0.0,0.3,0.0
2020-03-04 1:00:00,0.0,2.77,0.0,3.06,0.0,5.82,0.0
2020-03-04 2:00:00,0.0,3.0,0.0,3.31,0.0,6.31,26.0
2020-03-04 3:00:00,0.0,3.0,0.0,3.28,0.0,6.28,55.0
2020-03-04 4:00:00,0.0,0.13,0.0,0.38,0.0,0.51,83.0
2020-03-04 5:00:00,0.0,0.01,0.0,0.39,0.0,0.4,85.0
2020-03-04 6:00:00,0.0,0.01,0.0,0.26,0.0,0.27,85.0
2020-03-04 7:00:00,0.0,0.01,0.0,0.34,0.0,0.35,85.0
2020-03-04 8:00:00,0.19,0.0,0.0,0.3,0.0,0.11,84.0
2020-03-04 9:00:00,0.33,0.0,0.0,0.37,0.0,0.04,82.0
2020-03-04 10:00:00,0.52,0.0,0.0,0.57,0.0,0.05,77.0
2020-03-04 11:00:00,0.72,0.0,0.0,0.8,0.0,0.08,71.0
2020-03-04 12:00:00,0.58,0.0,0.0,0.67,0.0,0.09,65.0
2020-03-04 13:00:00,0.36,0.0,0.0,0.41,0.0,0.06,58.0
2020-03-04 14:00:00,0.25,0.0,0.0,0.3,0.0,0.04,54.0
2020-03-04 15:00:00,1.43,0.0,0.0,1.51,0.0,0.08,51.0
2020-03-04 16:00:00,0.29,0.0,0.0,0.35,0.0,0.06,33.0
2020-03-04 17:00:00,0.61,0.0,0.0,0.66,0.0,0.05,29.0
2020-03-04 18:00:00,0.73,0.0,0.0,0.78,0.0,0.05,22.0
2020-03-04 19:00:00,0.33,0.0,0.0,0.39,0.0,0.06,12.0
2020-03-04 20:00:00,0.19,0.0,0.0,0.22,0.0,0.03,8.0
2020-03-04 21:00:00,0.3,0.0,0.0,0.34,0.0,0.03,4.0
2020-03-04 22:00:00,0.02,0.01,0.0,0.4,0.0,0.39,1.0
2020-03-04 23:00:00,0.0,0.01,0.0,0.34,0.0,0.35,0.0
