date,Discharge(W),Charge(W),Production(W),Consumption(W),Feed-in(W),From grid(W),State of Charge(%)
2020-07-24 0:0:00,0.0,0.13,0.0,4.45,0.0,4.58,9.0
2020-07-24 0:15:00,0.0,1.9499999999999993,0.0,336.91999999999996,0.0,338.87,9.0
2020-07-24 0:30:00,0.0,1.9499999999999993,0.0,90.36000000000001,0.0,92.31,9.0
2020-07-24 0:45:00,0.0,1.9499999999999993,0.0,101.89,0.0,103.84,9.0
2020-07-24 1:0:00,0.0,1.9499999999999993,0.0,407.6300000000001,0.0,409.58000000000004,9.0
2020-07-24 1:15:00,0.0,1.9499999999999993,0.0,170.35999999999996,0.0,172.31000000000003,9.0
2020-07-24 1:30:00,0.0,1.9499999999999993,0.0,47.82,0.0,49.76999999999999,9.0
2020-07-24 1:45:00,0.0,1.9499999999999993,0.0,56.58,0.0,58.53,9.0
2020-07-24 2:0:00,0.0,1.9499999999999993,0.0,64.04,0.0,65.99000000000001,9.0
2020-07-24 2:15:00,0.0,1.9499999999999993,0.0,74.07,0.0,76.02000000000001,9.0
2020-07-24 2:30:00,0.0,1.9499999999999993,0.0,67.66999999999999,0.0,69.62,9.0
2020-07-24 2:45:00,0.0,1.9499999999999993,0.0,45.64999999999999,0.0,47.6,9.0
2020-07-24 3:0:00,0.0,1.9499999999999993,0.0,52.36,0.0,54.31,9.0
2020-07-24 3:15:00,0.0,1.9499999999999993,0.0,64.78999999999999,0.0,66.74000000000001,9.0
2020-07-24 3:30:00,0.0,1.9499999999999993,0.0,64.52,0.0,66.47,9.0
2020-07-24 3:45:00,0.0,1.9499999999999993,0.0,76.92999999999999,0.0,78.88,9.0
2020-07-24 4:0:00,0.0,1.9499999999999993,0.0,74.76999999999998,0.0,76.72000000000001,9.0
2020-07-24 4:15:00,0.0,1.9499999999999993,0.0,64.14,0.0,66.09000000000002,9.0
2020-07-24 4:30:00,0.0,1.9499999999999993,0.0,71.47000000000001,0.0,73.42,8.0
2020-07-24 4:45:00,0.0,1.9499999999999993,0.0,62.21000000000001,0.0,64.16,8.0
2020-07-24 5:0:00,0.48,434.67,0.0,59.53999999999999,0.0,493.73,8.0
2020-07-24 5:15:00,0.0,1.9699999999999993,0.0,60.16,0.0,62.13,10.0
2020-07-24 5:30:00,0.0,1.9499999999999993,0.0,74.05999999999999,0.0,76.01,10.0
2020-07-24 5:45:00,0.0,616.02,0.0,63.51,0.0,679.53,10.0
2020-07-24 6:0:00,0.0,825.0,0.0,54.48999999999999,0.0,879.4899999999999,16.0
2020-07-24 6:15:00,0.0,825.04,0.0,56.190000000000005,0.0,881.23,24.0
2020-07-24 6:30:00,0.0,825.02,0.0,70.75999999999999,0.0,895.7800000000001,31.0
2020-07-24 6:45:00,0.0,825.0,0.0,104.55,0.0,929.55,40.0
2020-07-24 7:0:00,0.0,825.0,0.0,97.98999999999998,0.0,922.9899999999999,47.0
2020-07-24 7:15:00,0.0,825.0,0.0,89.28,0.0,914.2799999999999,56.0
2020-07-24 7:30:00,0.0,825.02,0.0,83.62,0.0,908.64,63.0
2020-07-24 7:45:00,0.0,824.98,0.0,404.46999999999997,0.0,1229.4499999999998,71.0
2020-07-24 8:0:00,0.0,671.27,0.0,604.52,0.0,1275.79,79.5
2020-07-24 8:15:00,491.0000000000001,55.0,0.0,535.72,0.0,101.32000000000001,86.0
2020-07-24 8:30:00,400.32,0.0,0.0,406.64,0.0,12.36,82.0
2020-07-24 8:45:00,166.88,0.0,0.0,173.39999999999998,0.0,8.57,77.0
2020-07-24 9:0:00,56.27,0.0,0.0,62.09000000000001,0.0,5.819999999999999,75.0
2020-07-24 9:15:00,42.94999999999999,0.0,0.0,50.360000000000014,0.0,7.41,74.0
2020-07-24 9:30:00,37.209999999999994,0.0,0.0,45.74,0.0,8.53,73.0
2020-07-24 9:45:00,50.56,0.0,0.0,59.160000000000004,0.0,8.6,73.0
2020-07-24 10:0:00,71.49000000000001,0.0,0.0,80.37,0.0,8.879999999999999,72.0
2020-07-24 10:15:00,48.11999999999999,0.0,0.0,55.70000000000001,0.0,7.58,71.0
2020-07-24 10:30:00,37.44,0.0,0.0,44.050000000000004,0.0,6.609999999999999,71.0
2020-07-24 10:45:00,47.86999999999999,0.0,0.0,54.599999999999994,0.0,6.73,70.0
2020-07-24 11:0:00,58.02999999999999,0.0,0.0,62.33000000000001,0.0,4.3,69.0
2020-07-24 11:15:00,75.22,0.0,0.0,82.04,0.0,6.8199999999999985,69.0
2020-07-24 11:30:00,66.71000000000001,0.0,0.0,73.81,0.0,7.1000000000000005,68.0
2020-07-24 11:45:00,62.65000000000001,0.0,0.0,70.87,0.0,8.219999999999999,67.0
2020-07-24 12:0:00,55.21,0.0,0.0,62.720000000000006,0.0,7.510000000000002,66.0
2020-07-24 12:15:00,39.93000000000001,0.0,0.0,48.23999999999999,0.0,8.31,66.0
2020-07-24 12:30:00,36.24000000000001,0.0,0.0,45.31,0.0,9.07,65.0
2020-07-24 12:45:00,72.87999999999997,0.0,0.0,80.16999999999999,0.0,7.290000000000001,63.0
2020-07-24 13:0:00,62.179999999999986,0.0,0.0,69.13000000000001,0.0,6.95,62.0
