date,Production(KWh),Consumption(KWh)
2023-12-22 0:00:00,9.80675,12.049413
2023-12-22 1:00:00,11.176,11.577384
2023-12-22 2:00:00,10.8466,11.030077
2023-12-22 3:00:00,9.0643,8.390525
2023-12-22 4:00:00,8.333651,7.62602
2023-12-22 5:00:00,8.31405,7.3222103
2023-12-22 6:00:00,8.31405,7.73816
2023-12-22 7:00:00,7.7493,6.792866
2023-12-22 8:00:00,7.7493,6.8004727
2023-12-22 9:00:00,8.57645,7.43896
2023-12-22 10:00:00,8.4156,7.713366
2023-12-22 11:00:00,8.25475,7.850471
2023-12-22 12:00:00,8.0939,7.395849
2023-12-22 13:00:00,8.220201,7.816893
2023-12-22 14:00:00,8.3465,7.9222336
2023-12-22 15:00:00,7.277933,8.748291
2023-12-22 16:00:00,7.277933,9.036691
2023-12-22 17:00:00,11.6333,9.633226
2023-12-22 18:00:00,11.5343,9.508791
2023-12-22 19:00:00,11.562901,9.898944
2023-12-22 20:00:00,11.7386,10.3701315
2023-12-22 21:00:00,11.82215,9.981931
2023-12-22 22:00:00,11.324201,9.108617
2023-12-22 23:00:00,10.08155,8.845888
