date,Discharge(KW),Charge(KW),Production(KW),Consumption(KW),Feed-in(KW),From grid(KW),State of Charge(%)
2020-09-22 0:00:00,0.0,0.01,0.0,0.19,0.0,0.2,10.0
2020-09-22 1:00:00,0.0,0.15,0.0,0.18,0.0,0.33,9.0
2020-09-22 2:00:00,0.0,0.01,0.0,0.41,0.0,0.42,10.0
2020-09-22 3:00:00,0.0,0.01,0.0,0.36,0.0,0.37,10.0
2020-09-22 4:00:00,0.0,0.01,0.0,0.43,0.0,0.44,10.0
2020-09-22 5:00:00,0.0,0.01,0.0,0.26,0.0,0.27,10.0
2020-09-22 6:00:00,0.0,0.01,0.0,0.13,0.0,0.14,10.0
2020-09-22 7:00:00,0.0,0.01,0.0,0.33,0.0,0.34,10.0
2020-09-22 8:00:00,0.0,0.01,0.03,0.19,0.0,0.17,10.0
2020-09-22 9:00:00,0.0,0.02,0.11,0.49,0.01,0.4,10.0
2020-09-22 10:00:00,0.0,0.11,0.3,0.25,0.02,0.08,9.0
2020-09-22 11:00:00,0.0,0.14,0.32,0.23,0.02,0.07,10.0
2020-09-22 12:00:00,0.0,0.09,0.26,0.25,0.02,0.09,10.0
2020-09-22 13:00:00,0.01,0.01,0.15,0.26,0.0,0.12,11.0
2020-09-22 14:00:00,0.0,0.01,0.1,0.28,0.0,0.19,10.0
2020-09-22 15:00:00,0.0,0.01,0.1,0.21,0.0,0.13,10.0
2020-09-22 16:00:00,0.0,0.01,0.06,0.31,0.0,0.27,10.0
2020-09-22 17:00:00,0.0,0.01,0.06,0.28,0.0,0.23,10.0
2020-09-22 18:00:00,0.0,0.01,0.03,0.14,0.0,0.11,10.0
2020-09-22 19:00:00,0.0,0.01,0.0,0.19,0.0,0.19,10.0
2020-09-22 20:00:00,0.0,0.1,0.0,0.35,0.0,0.45,9.0
2020-09-22 21:00:00,0.0,0.01,0.0,0.21,0.0,0.22,10.0
2020-09-22 22:00:00,0.0,0.01,0.0,0.19,0.0,0.19,10.0
2020-09-22 23:00:00,0.0,0.01,0.0,0.11,0.0,0.11,10.0
