date,Discharge(KW),Charge(KW),Production(KW),Consumption(KW),Feed-in(KW),From grid(KW),State of Charge(%)
2020-07-22 0:00:00,0.0,0.01,0.0,0.67,0.0,0.68,9.0
2020-07-22 1:00:00,0.0,0.01,0.0,0.29,0.0,0.29,9.0
2020-07-22 2:00:00,0.0,0.01,0.0,0.36,0.0,0.36,9.0
2020-07-22 3:00:00,0.0,0.01,0.0,0.23,0.0,0.23,9.0
2020-07-22 4:00:00,0.0,0.01,0.0,0.24,0.0,0.25,9.0
2020-07-22 5:00:00,0.0,1.44,0.0,0.31,0.0,1.75,9.0
2020-07-22 6:00:00,0.0,3.3,0.0,0.26,0.0,3.56,22.0
2020-07-22 7:00:00,0.0,3.3,0.0,0.61,0.0,3.91,55.0
2020-07-22 8:00:00,0.42,0.26,0.0,0.48,0.0,0.31,86.0
2020-07-22 9:00:00,0.67,0.0,0.0,0.7,0.0,0.04,84.0
2020-07-22 10:00:00,0.37,0.0,0.0,0.4,0.0,0.03,75.0
2020-07-22 11:00:00,0.93,0.0,0.0,0.98,0.0,0.05,71.0
2020-07-22 12:00:00,1.68,0.0,0.0,1.78,0.0,0.11,59.0
2020-07-22 13:00:00,1.44,0.0,0.0,1.48,0.0,0.06,39.0
2020-07-22 14:00:00,0.37,0.0,0.0,0.39,0.0,0.02,22.0
2020-07-22 15:00:00,0.27,0.0,0.0,0.3,0.0,0.03,16.0
2020-07-22 16:00:00,0.19,0.0,0.0,0.33,0.0,0.14,13.0
2020-07-22 17:00:00,0.0,0.01,0.0,0.49,0.0,0.49,10.0
2020-07-22 18:00:00,0.0,0.01,0.0,2.41,0.0,2.42,10.0
2020-07-22 19:00:00,0.0,0.01,0.0,0.72,0.0,0.73,10.0
2020-07-22 20:00:00,0.0,0.01,0.0,1.02,0.0,1.03,10.0
2020-07-22 21:00:00,0.0,0.01,0.0,1.57,0.0,1.57,10.0
2020-07-22 22:00:00,0.0,0.01,0.0,0.97,0.0,0.98,10.0
2020-07-22 23:00:00,0.0,0.01,0.0,1.14,0.0,1.15,10.0
