date,Discharge(KW),Charge(KW),Production(KW),Consumption(KW),Feed-in(KW),From grid(KW),State of Charge(%)
2020-08-24 0:00:00,0.0,0.01,0.0,0.71,0.0,0.72,10.0
2020-08-24 1:00:00,0.0,0.01,0.0,0.46,0.0,0.47,10.0
2020-08-24 2:00:00,0.0,0.01,0.0,0.47,0.0,0.48,10.0
2020-08-24 3:00:00,0.0,0.01,0.0,0.46,0.0,0.47,10.0
2020-08-24 4:00:00,0.0,0.01,0.0,0.46,0.0,0.46,10.0
2020-08-24 5:00:00,0.0,1.38,0.0,0.47,0.0,1.85,9.0
2020-08-24 6:00:00,0.0,3.3,0.0,0.51,0.0,3.81,22.0
2020-08-24 7:00:00,0.0,3.3,0.0,0.84,0.0,4.14,54.0
2020-08-24 8:00:00,0.76,0.14,0.0,0.81,0.0,0.19,86.0
2020-08-24 9:00:00,0.43,0.0,0.0,0.45,0.0,0.02,78.0
2020-08-24 10:00:00,0.61,0.0,0.0,0.63,0.0,0.02,73.0
2020-08-24 11:00:00,0.88,0.0,0.0,0.92,0.0,0.04,66.0
2020-08-24 12:00:00,0.84,0.0,0.0,0.88,0.0,0.04,55.0
2020-08-24 13:00:00,0.53,0.0,0.0,0.55,0.0,0.02,45.0
2020-08-24 14:00:00,0.57,0.0,0.0,0.6,0.0,0.03,39.0
2020-08-24 15:00:00,1.25,0.0,0.0,1.29,0.0,0.05,31.0
2020-08-24 16:00:00,0.48,0.01,0.0,1.27,0.0,0.8,15.0
2020-08-24 17:00:00,0.0,0.01,0.0,2.3,0.0,2.31,10.0
2020-08-24 18:00:00,0.0,0.01,0.0,1.07,0.0,1.08,10.0
2020-08-24 19:00:00,0.0,0.01,0.0,0.67,0.0,0.67,10.0
2020-08-24 20:00:00,0.0,0.01,0.0,0.83,0.0,0.83,10.0
2020-08-24 21:00:00,0.0,0.01,0.0,1.97,0.0,1.97,10.0
2020-08-24 22:00:00,0.0,0.01,0.0,1.65,0.0,1.66,9.0
2020-08-24 23:00:00,0.0,0.01,0.0,0.68,0.0,0.69,9.0
