date,Discharge(KW),Charge(KW),Production(KW),Consumption(KW),Feed-in(KW),From grid(KW),State of Charge(%)
2020-04-07 0:00:00,0.0,0.01,0.0,0.59,0.0,0.6,9.0
2020-04-07 1:00:00,0.0,0.01,0.0,0.31,0.0,0.32,8.0
2020-04-07 2:00:00,0.0,0.01,0.0,0.28,0.0,0.29,8.0
2020-04-07 3:00:00,0.0,0.01,0.0,0.23,0.0,0.24,8.0
2020-04-07 4:00:00,0.0,0.01,0.0,0.35,0.0,0.36,8.0
2020-04-07 5:00:00,0.0,0.01,0.0,0.23,0.0,0.24,8.0
2020-04-07 6:00:00,0.0,0.01,0.0,0.23,0.0,0.23,8.0
2020-04-07 7:00:00,0.0,0.34,0.0,0.37,0.0,0.71,8.0
2020-04-07 8:00:00,0.0,0.01,0.0,0.6,0.0,0.61,10.0
2020-04-07 9:00:00,0.0,0.01,0.0,0.53,0.0,0.54,10.0
2020-04-07 10:00:00,0.0,0.01,0.0,0.58,0.0,0.58,10.0
2020-04-07 11:00:00,0.0,0.01,0.0,0.43,0.0,0.43,10.0
2020-04-07 12:00:00,0.0,0.01,0.0,0.76,0.0,0.76,10.0
2020-04-07 13:00:00,0.0,0.01,0.0,0.96,0.0,0.97,10.0
2020-04-07 14:00:00,0.0,0.01,0.0,0.35,0.0,0.36,10.0
2020-04-07 15:00:00,0.0,0.01,0.0,0.43,0.0,0.44,9.0
2020-04-07 16:00:00,0.0,0.01,0.0,0.89,0.0,0.9,9.0
2020-04-07 17:00:00,0.0,0.01,0.0,1.69,0.0,1.7,9.0
2020-04-07 18:00:00,0.0,0.01,0.0,0.74,0.0,0.75,9.0
2020-04-07 19:00:00,0.0,0.01,0.0,1.19,0.0,1.2,9.0
2020-04-07 20:00:00,0.0,0.01,0.0,0.85,0.0,0.85,9.0
2020-04-07 21:00:00,0.0,0.01,0.0,0.53,0.0,0.53,9.0
2020-04-07 22:00:00,0.0,0.01,0.0,0.61,0.0,0.62,8.0
2020-04-07 23:00:00,0.0,0.01,0.0,0.6,0.0,0.61,8.0
