date,Discharge(KW),Charge(KW),Production(KW),Consumption(KW),Feed-in(KW),From grid(KW),State of Charge(%)
2020-07-20 0:00:00,0.15,0.0,0.0,0.18,0.0,0.03,25.0
2020-07-20 1:00:00,0.11,0.0,0.0,0.14,0.0,0.04,23.0
2020-07-20 2:00:00,0.09,0.0,0.0,0.12,0.0,0.04,22.0
2020-07-20 3:00:00,0.12,0.0,0.0,0.15,0.0,0.04,19.0
2020-07-20 4:00:00,0.14,0.0,0.0,0.17,0.0,0.03,17.0
2020-07-20 5:00:00,0.06,0.0,0.0,0.14,0.0,0.09,15.0
2020-07-20 6:00:00,0.0,0.01,0.15,0.07,0.12,0.05,14.0
2020-07-20 7:00:00,0.0,0.01,0.63,0.1,0.58,0.06,14.0
2020-07-20 8:00:00,0.48,0.33,0.85,2.54,0.05,1.59,14.0
2020-07-20 9:00:00,0.02,1.21,1.49,0.29,0.02,0.01,11.0
2020-07-20 10:00:00,0.01,1.13,1.31,0.21,0.01,0.03,23.0
2020-07-20 11:00:00,0.18,0.58,1.15,0.79,0.0,0.04,34.0
2020-07-20 12:00:00,0.01,1.22,1.49,0.29,0.01,0.02,37.0
2020-07-20 13:00:00,0.0,1.47,1.59,0.13,0.01,0.02,49.0
2020-07-20 14:00:00,0.01,1.17,1.54,0.37,0.02,0.01,63.0
2020-07-20 15:00:00,0.04,0.61,1.29,0.78,0.01,0.07,75.0
2020-07-20 16:00:00,0.04,0.44,0.93,0.63,0.01,0.11,80.0
2020-07-20 17:00:00,0.14,0.03,0.29,0.49,0.0,0.09,83.0
2020-07-20 18:00:00,0.12,0.0,0.11,0.26,0.0,0.04,82.0
2020-07-20 19:00:00,0.38,0.0,0.09,0.56,0.0,0.09,80.0
2020-07-20 20:00:00,0.99,0.0,0.05,1.6,0.0,0.55,74.0
2020-07-20 21:00:00,0.33,0.0,0.01,0.43,0.0,0.1,61.0
2020-07-20 22:00:00,0.15,0.0,0.0,0.18,0.0,0.03,57.0
2020-07-20 23:00:00,0.15,0.0,0.0,0.19,0.0,0.03,54.0
