date,Discharge(KW),Charge(KW),Production(KW),Consumption(KW),Feed-in(KW),From grid(KW),State of Charge(%)
2020-01-03 0:00:00,0.0,0.01,0.0,1.11,0.0,1.12,0.0
2020-01-03 1:00:00,0.0,2.32,0.0,3.43,0.0,5.75,0.0
2020-01-03 2:00:00,0.0,2.5,0.0,3.53,0.0,6.03,20.0
2020-01-03 3:00:00,0.0,2.5,0.0,3.49,0.0,5.99,45.0
2020-01-03 4:00:00,0.0,0.24,0.0,1.29,0.0,1.53,69.0
2020-01-03 5:00:00,0.0,0.01,0.0,1.02,0.0,1.03,72.0
2020-01-03 6:00:00,0.0,0.01,0.0,1.13,0.0,1.14,72.0
2020-01-03 7:00:00,0.79,0.0,0.01,0.93,0.0,0.14,72.0
2020-01-03 8:00:00,0.43,0.0,0.24,0.71,0.0,0.05,62.0
2020-01-03 9:00:00,0.37,0.2,0.64,0.89,0.0,0.08,58.0
2020-01-03 10:00:00,0.09,0.44,1.14,0.81,0.01,0.03,56.0
2020-01-03 11:00:00,0.03,0.48,1.05,0.6,0.01,0.02,58.0
2020-01-03 12:00:00,0.02,0.73,1.47,0.76,0.01,0.02,62.0
2020-01-03 13:00:00,0.72,0.23,1.23,1.98,0.0,0.26,68.0
2020-01-03 14:00:00,0.31,0.06,0.95,1.27,0.0,0.07,62.0
2020-01-03 15:00:00,0.24,0.05,0.52,0.73,0.01,0.03,59.0
2020-01-03 16:00:00,0.33,0.01,0.2,0.55,0.0,0.04,56.0
2020-01-03 17:00:00,0.91,0.0,0.06,1.03,0.0,0.05,53.0
2020-01-03 18:00:00,1.77,0.0,0.0,1.82,0.0,0.05,42.0
2020-01-03 19:00:00,1.62,0.0,0.0,1.91,0.0,0.29,20.0
2020-01-03 20:00:00,0.01,0.01,0.0,2.11,0.0,2.11,0.0
2020-01-03 21:00:00,0.0,0.01,0.0,1.35,0.0,1.36,0.0
2020-01-03 22:00:00,0.0,0.01,0.0,1.3,0.0,1.31,0.0
2020-01-03 23:00:00,0.0,0.01,0.0,1.2,0.0,1.21,0.0
