date,Production(KWh),Consumption(KWh)
2023-09-29 0:00:00,6.830875,0.0
2023-09-29 1:00:00,5.283625,0.0
2023-09-29 2:00:00,6.6171002,0.0
2023-09-29 3:00:00,6.86985,0.0
2023-09-29 4:00:00,7.8430834,0.0
2023-09-29 5:00:00,6.8967004,0.0
2023-09-29 6:00:00,5.7222004,0.0
2023-09-29 7:00:00,6.86845,0.0
2023-09-29 8:00:00,6.7101,0.0
2023-09-29 9:00:00,6.7049,0.0
2023-09-29 10:00:00,6.728,7.7559
2023-09-29 11:00:00,6.65165,15.33935
2023-09-29 12:00:00,6.6812,22.73965
2023-09-29 13:00:00,6.6841,14.202701
2023-09-29 14:00:00,7.3103337,38.233948
2023-09-29 15:00:00,8.729934,32.886803
2023-09-29 16:00:00,9.2266,22.267225
2023-09-29 17:00:00,9.2953,7.3492503
2023-09-29 18:00:00,10.667075,0.54436666
2023-09-29 19:00:00,8.8773,0.0
2023-09-29 20:00:00,7.6259,0.0
2023-09-29 21:00:00,7.03345,0.0
2023-09-29 22:00:00,7.159,0.0
2023-09-29 23:00:00,7.0785,0.0
