Date,True,dLinear,TimesNet,True Prod,Prod
2023-08-10 19:00:00,8.93995,9.015305,9.083261,19.439573,14.3656845
2023-08-10 20:00:00,8.950634,8.92493,9.002727,15.0394745,12.779952
2023-08-10 21:00:00,8.95762,8.825949,8.856605,11.867875,11.375329
2023-08-10 21:00:00,8.95762,8.605025,8.845536,11.585975,7.129197
2023-08-10 22:00:00,8.917116,8.236636,8.429673,3.22815,2.5197172
2023-08-10 23:00:00,9.005,7.8784995,7.981114,0.041626424,0.8793969
2023-08-11 00:00:00,7.699,7.378919,7.5960608,0.19407369,1.1584536
2023-08-11 01:00:00,7.635933,7.101952,7.2500224,1.5810004,2.981144
2023-08-11 02:00:00,6.9321003,6.845153,7.277817,10.854151,5.8102584
2023-08-11 03:00:00,6.5682,6.92352,7.256307,14.360875,8.398049
2023-08-11 04:00:00,6.955567,6.9735994,7.2011847,18.32965,8.524001
2023-08-11 05:00:00,6.5102,7.027919,7.2415395,13.119474,6.434154
2023-08-11 06:00:00,6.60935,7.0103536,7.249636,16.8878,5.872653
2023-08-11 07:00:00,5.727075,7.04978,7.09665,3.8056998,4.7106256
2023-08-11 08:00:00,6.5984,7.2341647,7.0497055,1.17235,3.8681188
2023-08-11 09:00:00,6.5224,7.7053037,7.162872,1.1906753,3.1719449
2023-08-11 10:00:00,8.30545,8.229072,7.5077195,0.15772505,1.2259917
2023-08-11 11:00:00,9.417434,8.763402,8.118271,1.5577495,3.1107514
2023-08-11 12:00:00,9.330625,9.083724,8.823175,10.741651,5.32384
2023-08-11 13:00:00,8.866366,9.314553,9.092874,12.13725,6.20257
2023-08-11 14:00:00,8.849625,9.414733,9.006398,20.726126,7.3087893
2023-08-11 15:00:00,8.6675,9.381326,8.992492,20.17535,8.605486
2023-08-11 16:00:00,8.88808,9.294922,9.0898285,11.64305,9.613114
2023-08-11 17:00:00,8.10866,9.289659,8.943012,5.0062747,6.3648267
2023-08-11 18:00:00,8.148983,9.260529,8.670729,3.1260502,4.3004518
2023-08-11 19:00:00,8.9424,9.214678,8.637966,1.3188237,3.2028472
2023-08-11 20:00:00,8.9718,9.127311,8.757467,0.066324666,0.9952153
2023-08-11 20:00:00,8.9718,8.992965,7.7204843,0.16747504,1.5725629
2023-08-11 21:00:00,8.776366,8.7341,7.424969,2.7321997,4.888062
2023-08-11 22:00:00,8.15148,8.418656,7.404806,14.301974,17.83696
2023-08-11 23:00:00,7.271975,7.897957,7.147173,20.951448,20.868778
2023-08-12 00:00:00,6.6275,7.497307,6.9737663,23.039276,26.091959
2023-08-12 01:00:00,6.8983502,7.0439844,6.8449464,23.857552,26.094885
2023-08-12 02:00:00,6.7106,7.0870004,6.753707,22.370975,23.031988
2023-08-12 03:00:00,5.6898,7.178864,6.843046,18.688475,19.720037
2023-08-12 04:00:00,6.5272,7.267767,6.721186,7.5009995,17.842628
2023-08-12 05:00:00,6.5233335,7.2681046,6.7398252,0.84307367,2.8300953
2023-08-12 06:00:00,6.5684333,7.2322392,6.827775,0.04062447,0.97051704
2023-08-12 07:00:00,6.495225,7.1379986,6.838784,0.16917525,0.97475433
2023-08-12 08:00:00,6.58915,7.359486,6.6548467,2.9583755,1.8033237
2023-08-12 09:00:00,5.791,7.7556334,6.427316,14.031549,13.566586
2023-08-12 10:00:00,4.8311,8.326737,6.919212,18.655176,16.076027
2023-08-12 11:00:00,6.634383,8.754735,6.8255363,7.9922004,5.994318
2023-08-12 12:00:00,6.076616,9.0997,6.780998,2.492975,6.086972
2023-08-12 13:00:00,6.05042,9.369534,6.9291964,2.7267504,6.048316
2023-08-12 14:00:00,6.3151,9.335436,6.869835,2.7810502,5.5407214
2023-08-12 15:00:00,6.143467,9.116406,6.8589263,2.0410748,3.3302953
2023-08-12 16:00:00,6.9422,9.041678,6.750879,1.0302504,2.0569136
2023-08-12 17:00:00,5.84585,8.936926,6.945552,0.10290084,0.88471234
2023-08-12 18:00:00,6.350225,8.912435,6.8688407,0.51412445,3.0650072
2023-08-12 19:00:00,7.1612997,9.062435,6.8850265,8.620174,8.381652
2023-08-12 19:00:00,7.1612997,6.820012,6.201054,15.202849,19.274893
2023-08-12 20:00:00,6.8166003,7.1581736,6.3338785,7.245225,13.537214
2023-08-12 21:00:00,6.0526,7.3450465,6.39939,8.141825,15.07713
2023-08-12 22:00:00,6.259933,7.164887,6.414938,8.773826,6.041356
2023-08-12 23:00:00,6.9934,6.9834447,6.328525,7.3679247,5.962392
2023-08-13 00:00:00,6.05564,6.510996,6.3557343,5.0993757,5.8167543
2023-08-13 01:00:00,6.8827,6.4099874,6.372153,1.4636,4.488522
2023-08-13 02:00:00,5.85375,6.383072,6.2142973,0.9948002,3.831896
2023-08-13 03:00:00,6.240075,6.4403496,6.2991138,0.51605123,1.5170971
2023-08-13 04:00:00,6.1422,6.487494,6.333739,0.22025044,0.9027495
2023-08-13 05:00:00,5.83885,6.573184,6.3003383,4.355975,6.1321754
2023-08-13 06:00:00,6.5656,6.4865756,6.410832,7.5536995,4.7436295
2023-08-13 07:00:00,6.5596333,6.402213,6.2221456,5.0766754,6.111531
2023-08-13 08:00:00,6.713725,6.2750206,6.4715524,3.8828754,7.293531
2023-08-13 09:00:00,6.6048503,6.3292766,6.164121,4.941025,10.481523
2023-08-13 10:00:00,5.5116663,6.4386396,6.2433996,3.4066255,5.3921843
2023-08-13 11:00:00,6.9811,6.7188935,6.4907174,3.1772504,11.834842
2023-08-13 12:00:00,6.785025,7.0813875,6.5011477,2.3346996,3.0732875
2023-08-13 13:00:00,4.8317003,7.241836,6.379427,2.0055504,2.2231607
2023-08-13 14:00:00,6.80866,7.169425,6.5301313,0.84249943,1.3036792
2023-08-13 15:00:00,6.6622,7.2254286,6.5454707,1.7233999,2.1074986
2023-08-13 16:00:00,6.83538,7.1362367,6.53719,12.1135,5.8973618
2023-08-13 17:00:00,6.8516498,7.0253673,6.26729,19.257725,19.42806
2023-08-13 18:00:00,7.6162996,7.239041,6.330148,23.04865,22.421444
2023-08-13 18:00:00,7.6162996,7.0196605,6.9330363,25.148401,24.557117
2023-08-13 19:00:00,6.890717,7.3089914,6.763024,25.607275,25.47009
2023-08-13 20:00:00,6.1914,7.577828,6.7321963,24.471975,24.525177
2023-08-13 21:00:00,6.90045,7.5461,7.0295706,21.05225,23.591984
