date,Production(KWh),Consumption(KWh)
2023-09-29 0:00:00,0.0,9.9
2023-09-29 1:00:00,0.0,9.67
2023-09-29 2:00:00,0.0,9.32
2023-09-29 3:00:00,0.0,8.9
2023-09-29 4:00:00,0.0,8.26
2023-09-29 5:00:00,0.0,7.62
2023-09-29 6:00:00,0.0,7.52
2023-09-29 7:00:00,0.0,7.49
2023-09-29 8:00:00,0.0,7.49
2023-09-29 9:00:00,0.0,7.39
2023-09-29 10:00:00,7.76,7.35
2023-09-29 11:00:00,15.34,7.48
2023-09-29 12:00:00,22.74,7.56
2023-09-29 13:00:00,14.2,7.74
2023-09-29 14:00:00,38.23,8.14
2023-09-29 15:00:00,32.89,8.43
2023-09-29 16:00:00,22.27,8.89
2023-09-29 17:00:00,7.35,9.31
2023-09-29 18:00:00,0.54,9.31
2023-09-29 19:00:00,0.0,9.13
2023-09-29 20:00:00,0.0,8.76
2023-09-29 21:00:00,0.0,8.51
2023-09-29 22:00:00,0.0,8.09
2023-09-29 23:00:00,0.0,7.95
