date,Discharge(W),Charge(W),Production(W),Consumption(W),Feed-in(W),From grid(W),State of Charge(%)
2020-02-26 0:0:00,0.0,0.12,0.0,84.1,0.0,84.22,0.0
2020-02-26 0:1:00,0.0,0.12,0.0,62.53,0.0,62.65,0.0
2020-02-26 0:2:00,0.0,0.12,0.0,83.08,0.0,83.2,0.0
2020-02-26 0:3:00,0.0,0.12,0.0,91.63,0.0,91.75,0.0
2020-02-26 0:4:00,0.0,0.12,0.0,79.3,0.0,79.42,0.0
2020-02-26 0:5:00,0.0,0.12,0.0,62.78,0.0,62.9,0.0
2020-02-26 0:6:00,0.0,0.12,0.0,89.43,0.0,89.55,0.0
2020-02-26 0:7:00,0.0,0.12,0.0,91.67,0.0,91.79,0.0
2020-02-26 0:8:00,0.0,0.12,0.0,71.6,0.0,71.72,0.0
2020-02-26 0:9:00,0.0,0.12,0.0,67.2,0.0,67.32,0.0
2020-02-26 0:10:00,0.0,0.12,0.0,90.48,0.0,90.6,0.0
2020-02-26 0:11:00,0.0,0.12,0.0,77.88,0.0,78.0,0.0
2020-02-26 0:12:00,0.0,0.12,0.0,34.7,0.0,34.82,0.0
2020-02-26 0:13:00,0.0,0.12,0.0,46.57,0.0,46.69,0.0
2020-02-26 0:14:00,0.0,0.12,0.0,62.33,0.0,62.45,0.0
2020-02-26 0:15:00,0.0,0.12,0.0,50.98,0.0,51.1,0.0
2020-02-26 0:16:00,0.0,0.12,0.0,32.67,0.0,32.79,0.0
2020-02-26 0:17:00,0.0,0.12,0.0,57.35,0.0,57.47,0.0
2020-02-26 0:18:00,0.0,0.12,0.0,62.23,0.0,62.35,0.0
2020-02-26 0:19:00,0.0,0.12,0.0,38.9,0.0,39.02,0.0
2020-02-26 0:20:00,0.0,0.12,0.0,35.33,0.0,35.45,0.0
2020-02-26 0:21:00,0.0,0.12,0.0,31.23,0.0,31.35,0.0
2020-02-26 0:22:00,0.0,0.12,0.0,27.22,0.0,27.34,0.0
2020-02-26 0:23:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 0:24:00,0.0,0.12,0.0,17.98,0.0,18.1,0.0
2020-02-26 0:25:00,0.0,0.12,0.0,31.43,0.0,31.55,0.0
2020-02-26 0:26:00,0.0,0.12,0.0,14.92,0.0,15.04,0.0
2020-02-26 0:27:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 0:28:00,0.0,0.12,0.0,29.82,0.0,29.94,0.0
2020-02-26 0:29:00,0.0,0.12,0.0,31.75,0.0,31.87,0.0
2020-02-26 0:30:00,0.0,0.12,0.0,4.6,0.0,4.72,0.0
2020-02-26 0:31:00,0.0,0.12,0.0,9.82,0.0,9.94,0.0
2020-02-26 0:32:00,0.0,0.12,0.0,31.87,0.0,31.99,0.0
2020-02-26 0:33:00,0.0,0.12,0.0,22.48,0.0,22.6,0.0
2020-02-26 0:34:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 0:35:00,0.0,0.12,0.0,0.45,0.0,0.57,0.0
2020-02-26 0:36:00,0.0,0.12,0.0,0.45,0.0,0.57,0.0
2020-02-26 0:37:00,0.0,0.12,0.0,0.45,0.0,0.57,0.0
2020-02-26 0:38:00,0.0,0.12,0.0,0.45,0.0,0.57,0.0
2020-02-26 0:39:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 0:40:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 0:41:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 0:42:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 0:43:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 0:44:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 0:45:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 0:46:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 0:47:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 0:48:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 0:49:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 0:50:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 0:51:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 0:52:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 0:53:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 0:54:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 0:55:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 0:56:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 0:57:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 0:58:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 0:59:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 1:0:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 1:1:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 1:2:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 1:3:00,0.0,0.12,0.0,0.38,0.0,0.5,0.0
2020-02-26 1:4:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 1:5:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 1:6:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 1:7:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 1:8:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 1:9:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 1:10:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 1:11:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 1:12:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 1:13:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 1:14:00,0.0,0.12,0.0,0.38,0.0,0.5,0.0
2020-02-26 1:15:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 1:16:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 1:17:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 1:18:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 1:19:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 1:20:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 1:21:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 1:22:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 1:23:00,0.0,0.12,0.0,0.38,0.0,0.5,0.0
2020-02-26 1:24:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 1:25:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 1:26:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 1:27:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 1:28:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 1:29:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 1:30:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 1:31:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 1:32:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 1:33:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 1:34:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 1:35:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 1:36:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 1:37:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 1:38:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 1:39:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 1:40:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 1:41:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 1:42:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 1:43:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 1:44:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 1:45:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 1:46:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 1:47:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 1:48:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 1:49:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 1:50:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 1:51:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 1:52:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 1:53:00,0.0,0.12,0.0,0.6,0.0,0.72,0.0
2020-02-26 1:54:00,0.0,0.12,0.0,2.3,0.0,2.42,0.0
2020-02-26 1:55:00,0.0,0.12,0.0,2.05,0.0,2.17,0.0
2020-02-26 1:56:00,0.0,0.12,0.0,2.02,0.0,2.14,0.0
2020-02-26 1:57:00,0.0,0.12,0.0,2.05,0.0,2.17,0.0
2020-02-26 1:58:00,0.0,0.12,0.0,2.03,0.0,2.15,0.0
2020-02-26 1:59:00,0.0,0.12,0.0,2.02,0.0,2.14,0.0
2020-02-26 2:0:00,0.0,0.12,0.0,2.02,0.0,2.14,0.0
2020-02-26 2:1:00,0.0,0.12,0.0,1.98,0.0,2.1,0.0
2020-02-26 2:2:00,0.0,0.12,0.0,1.95,0.0,2.07,0.0
2020-02-26 2:3:00,0.0,0.12,0.0,1.95,0.0,2.07,0.0
2020-02-26 2:4:00,0.0,0.12,0.0,1.93,0.0,2.05,0.0
2020-02-26 2:5:00,0.0,0.12,0.0,1.93,0.0,2.05,0.0
2020-02-26 2:6:00,0.0,0.12,0.0,1.93,0.0,2.05,0.0
2020-02-26 2:7:00,0.0,0.12,0.0,1.92,0.0,2.04,0.0
2020-02-26 2:8:00,0.0,0.12,0.0,1.9,0.0,2.02,0.0
2020-02-26 2:9:00,0.0,0.12,0.0,1.9,0.0,2.02,0.0
2020-02-26 2:10:00,0.0,0.12,0.0,1.9,0.0,2.02,0.0
2020-02-26 2:11:00,0.0,0.12,0.0,1.88,0.0,2.0,0.0
2020-02-26 2:12:00,0.0,0.12,0.0,1.88,0.0,2.0,0.0
2020-02-26 2:13:00,0.0,0.12,0.0,1.13,0.0,1.25,0.0
2020-02-26 2:14:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 2:15:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 2:16:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 2:17:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 2:18:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 2:19:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 2:20:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 2:21:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 2:22:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 2:23:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 2:24:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 2:25:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 2:26:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 2:27:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 2:28:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 2:29:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 2:30:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 2:31:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 2:32:00,0.0,0.12,0.0,0.38,0.0,0.5,0.0
2020-02-26 2:33:00,0.0,0.12,0.0,0.38,0.0,0.5,0.0
2020-02-26 2:34:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 2:35:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 2:36:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 2:37:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 2:38:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 2:39:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 2:40:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 2:41:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 2:42:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 2:43:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 2:44:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 2:45:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 2:46:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 2:47:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 2:48:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 2:49:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 2:50:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 2:51:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 2:52:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 2:53:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 2:54:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 2:55:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 2:56:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 2:57:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 2:58:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 2:59:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:0:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 3:1:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:2:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 3:3:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 3:4:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:5:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:6:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:7:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:8:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:9:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:10:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:11:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:12:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 3:13:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:14:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 3:15:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 3:16:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:17:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 3:18:00,0.0,0.1966666666666666,0.0,0.7366666666666667,0.0,0.9333333333333332,0.0
2020-02-26 3:19:00,0.0,0.2733333333333333,0.0,1.0433333333333334,0.0,1.3166666666666669,0.0
2020-02-26 3:20:00,0.0,0.35,0.0,1.35,0.0,1.7,0.0
2020-02-26 3:21:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:22:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:23:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:24:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:25:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 3:26:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 3:27:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 3:28:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:29:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 3:30:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 3:31:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 3:32:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 3:33:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 3:34:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:35:00,0.0,0.12,0.0,0.45,0.0,0.57,0.0
2020-02-26 3:36:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:37:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 3:38:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:39:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:40:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 3:41:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 3:42:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:43:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 3:44:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:45:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:46:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 3:47:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:48:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:49:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 3:50:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:51:00,0.0,0.12,0.0,0.38,0.0,0.5,0.0
2020-02-26 3:52:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 3:53:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 3:54:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:55:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 3:56:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:57:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:58:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 3:59:00,0.0,0.12,0.0,1.52,0.0,1.64,0.0
2020-02-26 4:0:00,0.0,0.12,0.0,2.27,0.0,2.39,0.0
2020-02-26 4:1:00,0.0,0.12,0.0,2.03,0.0,2.15,0.0
2020-02-26 4:2:00,0.0,0.12,0.0,2.02,0.0,2.14,0.0
2020-02-26 4:3:00,0.0,0.12,0.0,2.05,0.0,2.17,0.0
2020-02-26 4:4:00,0.0,0.12,0.0,2.07,0.0,2.19,0.0
2020-02-26 4:5:00,0.0,0.12,0.0,2.05,0.0,2.17,0.0
2020-02-26 4:6:00,0.0,0.12,0.0,2.02,0.0,2.14,0.0
2020-02-26 4:7:00,0.0,0.12,0.0,2.02,0.0,2.14,0.0
2020-02-26 4:8:00,0.0,0.12,0.0,1.98,0.0,2.1,0.0
2020-02-26 4:9:00,0.0,0.12,0.0,1.97,0.0,2.09,0.0
2020-02-26 4:10:00,0.0,0.12,0.0,1.95,0.0,2.07,0.0
2020-02-26 4:11:00,0.0,0.12,0.0,1.95,0.0,2.07,0.0
2020-02-26 4:12:00,0.0,0.12,0.0,1.95,0.0,2.07,0.0
2020-02-26 4:13:00,0.0,0.12,0.0,1.93,0.0,2.05,0.0
2020-02-26 4:14:00,0.0,0.12,0.0,1.95,0.0,2.07,0.0
2020-02-26 4:15:00,0.0,0.12,0.0,1.92,0.0,2.04,0.0
2020-02-26 4:16:00,0.0,0.12,0.0,1.92,0.0,2.04,0.0
2020-02-26 4:17:00,0.0,0.12,0.0,1.9,0.0,2.02,0.0
2020-02-26 4:18:00,0.0,0.12,0.0,1.9,0.0,2.02,0.0
2020-02-26 4:19:00,0.0,0.12,0.0,0.97,0.0,1.09,0.0
2020-02-26 4:20:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 4:21:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 4:22:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 4:23:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 4:24:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 4:25:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 4:26:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 4:27:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 4:28:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 4:29:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 4:30:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 4:31:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 4:32:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 4:33:00,0.0,0.12,0.0,0.4,0.0,0.52,0.0
2020-02-26 4:34:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 4:35:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 4:36:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
2020-02-26 4:37:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 4:38:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 4:39:00,0.0,0.12,0.0,0.42,0.0,0.54,0.0
2020-02-26 4:40:00,0.0,0.12,0.0,0.43,0.0,0.55,0.0
