date,Discharge(KW),Charge(KW),Production(KW),Consumption(KW),Feed-in(KW),From grid(KW),State of Charge(%)
2020-06-27 0:00:00,0.61,0.0,0.0,0.65,0.0,0.04,34.0
2020-06-27 1:00:00,0.17,0.0,0.0,0.21,0.0,0.03,26.0
2020-06-27 2:00:00,0.46,0.0,0.0,0.5,0.0,0.04,24.0
2020-06-27 3:00:00,0.13,0.0,0.0,0.16,0.0,0.04,18.0
2020-06-27 4:00:00,0.09,0.0,0.0,0.12,0.0,0.03,16.0
2020-06-27 5:00:00,0.1,0.0,0.0,0.24,0.0,0.14,14.0
2020-06-27 6:00:00,0.0,0.0,0.0,0.12,0.0,0.12,13.0
2020-06-27 7:00:00,0.0,0.01,0.01,0.24,0.0,0.24,12.0
2020-06-27 8:00:00,0.07,0.06,0.14,0.19,0.0,0.04,12.0
2020-06-27 9:00:00,0.18,0.19,0.28,0.45,0.0,0.18,11.0
2020-06-27 10:00:00,0.15,0.65,0.96,0.51,0.0,0.04,11.0
2020-06-27 11:00:00,0.0,0.61,0.83,0.26,0.0,0.04,14.0
2020-06-27 12:00:00,0.0,0.78,0.9,0.16,0.0,0.04,20.0
2020-06-27 13:00:00,0.11,1.21,1.38,0.37,0.0,0.09,27.0
2020-06-27 14:00:00,0.18,0.04,0.38,0.57,0.0,0.05,38.0
2020-06-27 15:00:00,0.0,0.31,0.61,0.35,0.0,0.04,37.0
2020-06-27 16:00:00,0.08,0.1,0.48,0.49,0.0,0.04,39.0
2020-06-27 17:00:00,0.54,0.15,0.65,1.12,0.0,0.08,39.0
2020-06-27 18:00:00,0.54,0.01,0.33,1.13,0.0,0.28,33.0
2020-06-27 19:00:00,0.03,0.08,0.2,0.18,0.0,0.03,28.0
2020-06-27 20:00:00,0.05,0.04,0.12,0.17,0.0,0.03,28.0
2020-06-27 21:00:00,0.26,0.0,0.02,0.32,0.0,0.04,27.0
2020-06-27 22:00:00,0.25,0.0,0.0,0.29,0.0,0.03,24.0
2020-06-27 23:00:00,0.67,0.0,0.0,0.7,0.0,0.04,20.0
