date,Discharge(W),Charge(W),Production(W),Consumption(W),Feed-in(W),From grid(W),State of Charge(%)
2020-01-31 0:0:00,0.0,0.12,0.0,9.62,0.0,9.74,0.0
2020-01-31 0:15:00,0.0,1.8000000000000007,0.0,156.90000000000003,0.0,158.7,0.0
2020-01-31 0:30:00,0.0,1.8000000000000007,0.0,197.06,0.0,198.85999999999999,0.0
2020-01-31 0:45:00,0.0,1.8000000000000007,0.0,195.48000000000002,0.0,197.28,0.0
2020-01-31 1:0:00,0.0,1.8000000000000007,0.0,165.73,0.0,167.53,0.0
2020-01-31 1:15:00,0.0,516.45,0.0,153.14000000000001,0.0,669.5899999999999,0.0
2020-01-31 1:30:00,0.0,750.0,0.0,171.61999999999998,0.0,921.62,5.0
2020-01-31 1:45:00,0.0,750.0,0.0,167.57999999999998,0.0,917.5799999999999,13.0
2020-01-31 2:0:00,32.62,390.365,0.0,175.67,0.0,533.4150000000001,20.0
2020-01-31 2:15:00,0.0,750.0,0.0,158.64000000000001,0.0,908.64,24.0
2020-01-31 2:30:00,0.0,750.0,0.0,171.64,0.0,921.6400000000001,30.0
2020-01-31 2:45:00,0.0,750.0,0.0,172.68,0.0,922.6800000000001,38.0
2020-01-31 3:0:00,0.0,750.0,0.0,166.85000000000002,0.0,916.8499999999999,45.0
2020-01-31 3:15:00,0.0,750.0,0.0,168.56,0.0,918.56,52.0
2020-01-31 3:30:00,0.0,750.0,0.0,162.75,0.0,912.7500000000001,59.0
2020-01-31 3:45:00,0.0,750.0,0.0,163.81,0.0,913.81,67.0
2020-01-31 4:0:00,0.0,750.0,0.0,169.97000000000003,0.0,919.9699999999999,74.0
2020-01-31 4:15:00,0.0,6.230000000000001,0.0,152.22,0.0,158.45,82.0
2020-01-31 4:30:00,0.0,1.8000000000000007,0.0,151.78000000000003,0.0,153.57999999999998,82.0
2020-01-31 4:45:00,0.0,1.8000000000000007,0.0,167.99999999999997,0.0,169.8,82.0
2020-01-31 5:0:00,0.0,1.8000000000000007,0.0,164.90000000000006,0.0,166.69999999999993,82.0
2020-01-31 5:15:00,0.0,1.8100000000000005,0.0,149.49999999999997,0.0,151.30999999999997,82.0
2020-01-31 5:30:00,0.0,1.8000000000000007,0.0,133.27,0.0,135.07000000000002,82.0
2020-01-31 5:45:00,0.0,1.8000000000000007,0.0,132.24,0.0,134.04,82.0
2020-01-31 6:0:00,0.0,1.8000000000000007,0.0,130.9,0.0,132.7,82.0
2020-01-31 6:15:00,0.0,1.8499999999999996,0.0,117.24,0.0,119.09,82.0
2020-01-31 6:30:00,0.0,1.9099999999999997,0.0,121.71000000000001,0.0,123.61999999999999,82.0
2020-01-31 6:45:00,0.0,1.9199999999999995,0.0,134.32,0.0,136.24,81.0
2020-01-31 7:0:00,0.0,1.9499999999999993,0.0,127.78,0.0,129.73,81.0
2020-01-31 7:15:00,0.0,1.9299999999999997,0.0,139.94,0.0,141.87000000000003,81.0
2020-01-31 7:30:00,0.0,1.9299999999999993,0.0,149.83999999999997,0.0,151.77,81.0
2020-01-31 7:45:00,0.0,1.92,0.0,156.36999999999998,0.0,158.29000000000002,81.0
2020-01-31 8:0:00,0.0,1.9,0.0,151.20999999999998,0.0,153.11,81.0
2020-01-31 8:15:00,138.32999999999998,0.0,0.0,154.7,0.0,16.630000000000003,81.0
2020-01-31 8:30:00,137.67,0.0,0.0,143.18999999999997,0.0,6.490000000000001,80.0
2020-01-31 8:45:00,149.15,0.0,0.0,154.16000000000003,0.0,5.29,77.0
2020-01-31 9:0:00,156.71,0.0,0.0,157.14999999999998,0.0,0.93,75.0
2020-01-31 9:15:00,160.88,0.0,0.0,160.42000000000002,0.0,0.6000000000000001,74.0
2020-01-31 9:30:00,142.33,0.0,0.0,151.51000000000002,0.0,9.18,72.0
2020-01-31 9:45:00,141.5,0.0,0.0,150.72,0.0,9.22,71.0
2020-01-31 10:0:00,156.15000000000003,0.0,0.0,166.56999999999996,0.0,10.420000000000002,69.0
2020-01-31 10:15:00,153.37999999999997,0.0,0.0,161.03,0.0,7.850000000000001,67.0
2020-01-31 10:30:00,158.68999999999997,0.0,0.0,161.64000000000001,0.0,4.93,66.0
2020-01-31 10:45:00,125.69999999999996,0.0,0.0,135.07000000000002,0.0,9.370000000000001,63.0
2020-01-31 11:0:00,135.54000000000005,0.0,0.0,144.95,0.0,9.41,62.0
2020-01-31 11:15:00,139.62,0.0,0.0,144.57,0.0,5.110000000000001,60.0
2020-01-31 11:30:00,137.40999999999997,0.0,0.0,137.92999999999998,0.0,0.9500000000000001,59.0
2020-01-31 11:45:00,113.95,0.0,0.0,120.71000000000001,0.0,6.79,57.0
2020-01-31 12:0:00,259.61000000000007,0.0,0.0,291.76,0.0,32.589999999999996,56.0
2020-01-31 12:15:00,166.62999999999997,0.0,0.0,175.36999999999998,0.0,8.739999999999998,53.0
2020-01-31 12:30:00,533.1,0.0,0.0,543.9,0.0,11.610000000000001,51.0
2020-01-31 12:45:00,525.36,0.0,0.0,539.7699999999999,0.0,14.409999999999998,43.0
2020-01-31 13:0:00,240.28000000000003,0.0,0.0,252.75999999999996,0.0,12.480000000000002,37.0
