date,Discharge(KW),Charge(KW),Production(KW),Consumption(KW),Feed-in(KW),From grid(KW),State of Charge(%)
2020-08-03 0:00:00,0.01,0.01,0.0,0.09,0.0,0.09,57.0
2020-08-03 1:00:00,0.0,2.29,0.01,0.1,0.0,2.38,57.0
2020-08-03 2:00:00,0.0,2.1,0.01,0.1,0.0,2.2,78.0
2020-08-03 3:00:00,0.0,0.01,0.0,0.09,0.0,0.1,100.0
2020-08-03 4:00:00,0.0,0.01,0.0,0.09,0.0,0.1,100.0
2020-08-03 5:00:00,0.0,0.01,0.0,0.09,0.0,0.1,100.0
2020-08-03 6:00:00,0.0,0.01,0.0,0.12,0.0,0.13,100.0
2020-08-03 7:00:00,0.0,0.01,0.02,0.21,0.0,0.2,100.0
2020-08-03 8:00:00,0.0,0.0,0.06,0.17,0.0,0.11,100.0
2020-08-03 9:00:00,0.0,0.09,0.34,0.56,0.1,0.41,100.0
2020-08-03 10:00:00,0.0,0.05,0.33,0.57,0.17,0.46,99.0
2020-08-03 11:00:00,0.0,0.0,1.06,0.32,0.81,0.06,100.0
2020-08-03 12:00:00,0.12,0.06,0.86,0.5,0.43,0.01,100.0
2020-08-03 13:00:00,0.33,0.44,0.87,0.71,0.09,0.03,98.0
2020-08-03 14:00:00,0.37,0.18,0.62,0.82,0.01,0.03,95.0
2020-08-03 15:00:00,0.06,0.44,0.81,0.34,0.11,0.02,91.0
2020-08-03 16:00:00,0.19,0.2,0.45,0.42,0.05,0.02,100.0
2020-08-03 17:00:00,0.05,0.07,0.23,0.18,0.05,0.01,98.0
2020-08-03 18:00:00,0.25,0.0,0.04,0.31,0.01,0.04,100.0
2020-08-03 19:00:00,0.61,0.0,0.01,0.65,0.01,0.04,96.0
2020-08-03 20:00:00,0.24,0.0,0.01,0.28,0.0,0.03,88.0
2020-08-03 21:00:00,0.26,0.0,0.01,0.29,0.0,0.03,85.0
2020-08-03 22:00:00,0.24,0.0,0.01,0.28,0.0,0.03,81.0
2020-08-03 23:00:00,0.14,0.0,0.01,0.17,0.0,0.03,77.0
