date,Discharge(KW),Charge(KW),Production(KW),Consumption(KW),Feed-in(KW),From grid(KW),State of Charge(%)
2020-04-06 0:00:00,0.13,0.0,0.0,0.16,0.0,0.03,91.0
2020-04-06 1:00:00,0.12,0.0,0.0,0.15,0.0,0.03,89.0
2020-04-06 2:00:00,0.12,0.0,0.0,0.16,0.0,0.03,87.0
2020-04-06 3:00:00,0.11,0.0,0.0,0.15,0.0,0.03,85.0
2020-04-06 4:00:00,0.12,0.0,0.0,0.16,0.0,0.03,83.0
2020-04-06 5:00:00,0.08,0.0,0.0,0.16,0.0,0.08,81.0
2020-04-06 6:00:00,0.0,0.01,0.01,0.15,0.0,0.15,80.0
2020-04-06 7:00:00,0.0,0.02,0.02,0.15,0.0,0.15,80.0
2020-04-06 8:00:00,0.41,0.01,0.08,0.69,0.0,0.21,80.0
2020-04-06 9:00:00,0.03,0.03,0.13,0.16,0.0,0.02,74.0
2020-04-06 10:00:00,0.04,0.1,0.17,0.14,0.0,0.03,73.0
2020-04-06 11:00:00,0.02,0.06,0.15,0.14,0.0,0.03,74.0
2020-04-06 12:00:00,0.06,0.06,0.15,0.19,0.0,0.05,73.0
2020-04-06 13:00:00,1.06,0.0,0.21,1.45,0.0,0.19,73.0
2020-04-06 14:00:00,1.3,0.02,0.36,1.86,0.0,0.22,61.0
2020-04-06 15:00:00,0.0,0.23,0.44,0.24,0.0,0.03,46.0
2020-04-06 16:00:00,0.0,0.17,0.41,0.26,0.0,0.02,48.0
2020-04-06 17:00:00,0.02,0.14,0.39,0.34,0.0,0.07,49.0
2020-04-06 18:00:00,0.01,0.13,0.35,0.26,0.0,0.03,52.0
2020-04-06 19:00:00,0.09,0.02,0.14,0.24,0.0,0.03,52.0
2020-04-06 20:00:00,0.22,0.0,0.09,0.34,0.0,0.03,51.0
2020-04-06 21:00:00,0.19,0.0,0.01,0.28,0.0,0.07,47.0
2020-04-06 22:00:00,0.18,0.0,0.01,0.22,0.0,0.03,45.0
2020-04-06 23:00:00,0.14,0.0,0.0,0.17,0.0,0.03,42.0
