date,Discharge(KW),Charge(KW),Production(KW),Consumption(KW),Feed-in(KW),From grid(KW),State of Charge(%)
2020-11-22 0:00:00,0.0,0.01,0.0,1.54,0.0,1.55,9.0
2020-11-22 1:00:00,0.0,0.01,0.0,0.19,0.0,0.19,9.0
2020-11-22 2:00:00,0.0,0.01,0.0,0.14,0.0,0.15,9.0
2020-11-22 3:00:00,0.0,0.01,0.0,0.14,0.0,0.15,8.0
2020-11-22 4:00:00,0.0,0.01,0.0,0.13,0.0,0.14,8.0
2020-11-22 5:00:00,0.0,1.35,0.0,0.13,0.0,1.47,8.0
2020-11-22 6:00:00,0.0,3.3,0.0,0.16,0.0,3.46,20.0
2020-11-22 7:00:00,0.0,3.3,0.0,0.15,0.0,3.45,51.0
2020-11-22 8:00:00,1.07,0.2,0.0,1.12,0.0,0.26,83.0
2020-11-22 9:00:00,0.35,0.0,0.0,0.38,0.0,0.02,73.0
2020-11-22 10:00:00,0.34,0.0,0.0,0.39,0.0,0.05,70.0
2020-11-22 11:00:00,1.6,0.0,0.0,1.73,0.0,0.13,65.0
2020-11-22 12:00:00,1.27,0.0,0.0,1.35,0.0,0.09,46.0
2020-11-22 13:00:00,0.87,0.0,0.0,0.95,0.0,0.09,31.0
2020-11-22 14:00:00,0.76,0.0,0.0,0.99,0.0,0.24,19.0
2020-11-22 15:00:00,0.0,0.01,0.0,1.19,0.0,1.19,10.0
2020-11-22 16:00:00,0.0,0.01,0.0,1.17,0.0,1.18,10.0
2020-11-22 17:00:00,0.0,0.01,0.0,1.84,0.0,1.85,10.0
2020-11-22 18:00:00,0.0,0.01,0.0,0.94,0.0,0.95,10.0
2020-11-22 19:00:00,0.0,0.01,0.0,0.9,0.0,0.91,10.0
2020-11-22 20:00:00,0.0,0.01,0.0,0.63,0.0,0.63,10.0
2020-11-22 21:00:00,0.0,0.01,0.0,0.71,0.0,0.72,9.0
2020-11-22 22:00:00,0.0,0.01,0.0,0.51,0.0,0.52,9.0
2020-11-22 23:00:00,0.0,0.01,0.0,0.23,0.0,0.24,9.0
