date,Discharge(KW),Charge(KW),Production(KW),Consumption(KW),Feed-in(KW),From grid(KW),State of Charge(%)
2020-03-23 0:00:00,0.0,0.01,0.0,0.22,0.0,0.23,0.0
2020-03-23 1:00:00,0.0,2.85,0.0,0.22,0.0,3.07,0.0
2020-03-23 2:00:00,0.0,3.0,0.0,0.21,0.0,3.21,27.0
2020-03-23 3:00:00,0.0,3.0,0.0,0.18,0.0,3.18,55.0
2020-03-23 4:00:00,0.0,0.22,0.0,0.17,0.0,0.39,84.0
2020-03-23 5:00:00,0.0,0.01,0.0,0.18,0.0,0.18,87.0
2020-03-23 6:00:00,0.0,0.01,0.0,0.18,0.0,0.19,87.0
2020-03-23 7:00:00,0.0,0.01,0.0,0.18,0.0,0.18,86.0
2020-03-23 8:00:00,1.49,0.0,0.0,1.71,0.0,0.22,86.0
2020-03-23 9:00:00,2.58,0.0,0.0,3.36,0.0,0.78,69.0
2020-03-23 10:00:00,1.79,0.0,0.0,2.12,0.0,0.34,40.0
2020-03-23 11:00:00,1.08,0.0,0.0,1.13,0.0,0.05,18.0
2020-03-23 12:00:00,0.29,0.0,0.0,1.25,0.0,0.96,4.0
2020-03-23 13:00:00,0.0,0.01,0.0,2.92,0.0,2.93,0.0
2020-03-23 14:00:00,0.0,0.01,0.0,3.15,0.0,3.16,0.0
2020-03-23 15:00:00,0.0,0.01,0.0,2.14,0.0,2.15,0.0
2020-03-23 16:00:00,0.0,0.01,0.0,1.9,0.0,1.91,0.0
2020-03-23 17:00:00,0.0,0.01,0.0,1.34,0.0,1.35,0.0
2020-03-23 18:00:00,0.0,0.01,0.0,2.38,0.0,2.39,0.0
2020-03-23 19:00:00,0.0,0.01,0.0,1.78,0.0,1.79,0.0
2020-03-23 20:00:00,0.0,0.01,0.0,1.68,0.0,1.69,0.0
2020-03-23 21:00:00,0.0,0.01,0.0,2.0,0.0,2.01,0.0
2020-03-23 22:00:00,0.0,0.01,0.0,1.21,0.0,1.22,0.0
2020-03-23 23:00:00,0.0,0.01,0.0,0.67,0.0,0.68,0.0
