date,Production(W),Consumption(W)
2022-06-27 0:00:00,0.0,6.752
2022-06-27 1:00:00,0.0,6.671
2022-06-27 2:00:00,0.0,6.781
2022-06-27 3:00:00,0.0,6.801
2022-06-27 4:00:00,0.0,6.65
2022-06-27 5:00:00,0.0,7.353
2022-06-27 6:00:00,2.078,9.07
2022-06-27 7:00:00,4.175,11.953
2022-06-27 8:00:00,9.875,14.739
2022-06-27 9:00:00,15.944,16.821
2022-06-27 10:00:00,18.721,17.043
2022-06-27 11:00:00,20.113,16.945
2022-06-27 12:00:00,20.451,16.842
2022-06-27 13:00:00,20.261,16.773
2022-06-27 14:00:00,19.689,16.814
2022-06-27 15:00:00,18.719,16.867
2022-06-27 16:00:00,14.718,16.205
2022-06-27 17:00:00,6.212,14.822
2022-06-27 18:00:00,3.442,12.799
2022-06-27 19:00:00,1.447,10.817
2022-06-27 20:00:00,1.028,9.012
2022-06-27 21:00:00,0.0,7.771
2022-06-27 22:00:00,0.0,6.974
2022-06-27 23:00:00,0.0,6.644
