date,Production(W),Consumption(W)
2022-08-28 0:00:00,0.0,13.333
2022-08-28 1:00:00,0.0,13.238
2022-08-28 2:00:00,0.0,13.08
2022-08-28 3:00:00,0.0,13.059
2022-08-28 4:00:00,0.0,13.004
2022-08-28 5:00:00,0.0,12.947
2022-08-28 6:00:00,1.273,12.913
2022-08-28 7:00:00,3.931,12.767
2022-08-28 8:00:00,14.991,12.726
2022-08-28 9:00:00,26.859,12.975
2022-08-28 10:00:00,34.257,13.15
2022-08-28 11:00:00,38.051,13.386
2022-08-28 12:00:00,40.644,13.368
2022-08-28 13:00:00,30.875,13.506
2022-08-28 14:00:00,39.761,13.36
2022-08-28 15:00:00,35.385,13.416
2022-08-28 16:00:00,24.241,13.452
2022-08-28 17:00:00,14.28,13.461
2022-08-28 18:00:00,3.009,13.588
2022-08-28 19:00:00,1.13,13.504
2022-08-28 20:00:00,0.0,13.48
2022-08-28 21:00:00,0.0,13.366
2022-08-28 22:00:00,0.0,13.245
2022-08-28 23:00:00,0.0,13.179
