date,Production(W),Consumption(W)
2022-05-26 0:00:00,0.0,6.848
2022-05-26 1:00:00,0.0,6.919
2022-05-26 2:00:00,0.0,6.732
2022-05-26 3:00:00,0.0,6.175
2022-05-26 4:00:00,0.0,6.103
2022-05-26 5:00:00,0.0,6.275
2022-05-26 6:00:00,1.812,7.147
2022-05-26 7:00:00,3.544,9.419
2022-05-26 8:00:00,7.133,12.169
2022-05-26 9:00:00,13.504,14.782
2022-05-26 10:00:00,18.063,14.901
2022-05-26 11:00:00,19.212,14.638
2022-05-26 12:00:00,15.602,14.075
2022-05-26 13:00:00,20.221,13.616
2022-05-26 14:00:00,14.944,13.501
2022-05-26 15:00:00,14.453,13.227
2022-05-26 16:00:00,12.727,12.978
2022-05-26 17:00:00,7.578,12.398
2022-05-26 18:00:00,3.076,11.582
2022-05-26 19:00:00,1.313,10.153
2022-05-26 20:00:00,0.0,8.208
2022-05-26 21:00:00,0.0,6.807
2022-05-26 22:00:00,0.0,6.484
2022-05-26 23:00:00,0.0,6.525
