date,Production(W),Consumption(W)
2022-06-21 0:00:00,0.0,6.195
2022-06-21 1:00:00,0.0,6.291
2022-06-21 2:00:00,0.0,6.596
2022-06-21 3:00:00,0.0,6.606
2022-06-21 4:00:00,0.0,6.874
2022-06-21 5:00:00,0.0,7.759
2022-06-21 6:00:00,1.606,9.513
2022-06-21 7:00:00,4.187,12.083
2022-06-21 8:00:00,9.827,14.37
2022-06-21 9:00:00,16.426,16.018
2022-06-21 10:00:00,19.223,16.294
2022-06-21 11:00:00,20.631,16.336
2022-06-21 12:00:00,21.033,15.939
2022-06-21 13:00:00,20.918,15.65
2022-06-21 14:00:00,19.301,15.412
2022-06-21 15:00:00,16.763,15.204
2022-06-21 16:00:00,13.738,14.743
2022-06-21 17:00:00,7.209,13.851
2022-06-21 18:00:00,2.923,12.573
2022-06-21 19:00:00,1.211,10.922
2022-06-21 20:00:00,1.021,8.859
2022-06-21 21:00:00,0.0,7.521
2022-06-21 22:00:00,0.0,6.912
2022-06-21 23:00:00,0.0,7.013
