date,Production(W),Consumption(W)
2022-04-28 0:00:00,0.0,6.527
2022-04-28 1:00:00,0.0,6.423
2022-04-28 2:00:00,0.0,6.098
2022-04-28 3:00:00,0.0,5.791
2022-04-28 4:00:00,0.0,5.779
2022-04-28 5:00:00,0.957,6.184
2022-04-28 6:00:00,2.567,7.526
2022-04-28 7:00:00,9.759,10.244
2022-04-28 8:00:00,16.273,12.831
2022-04-28 9:00:00,20.79,13.163
2022-04-28 10:00:00,21.274,12.61
2022-04-28 11:00:00,19.977,12.497
2022-04-28 12:00:00,18.178,12.319
2022-04-28 13:00:00,21.198,12.231
2022-04-28 14:00:00,18.27,12.255
2022-04-28 15:00:00,10.802,11.787
2022-04-28 16:00:00,6.744,11.307
2022-04-28 17:00:00,3.301,10.815
2022-04-28 18:00:00,1.301,9.984
2022-04-28 19:00:00,0.0,8.189
2022-04-28 20:00:00,0.0,6.635
2022-04-28 21:00:00,0.0,6.187
2022-04-28 22:00:00,0.0,6.144
2022-04-28 23:00:00,0.0,6.135
