date,Production(W),Consumption(W)
2022-02-27 0:00:00,0.0,4.012
2022-02-27 1:00:00,0.0,3.855
2022-02-27 2:00:00,0.0,3.815
2022-02-27 3:00:00,0.0,3.905
2022-02-27 4:00:00,0.0,3.827
2022-02-27 5:00:00,0.0,3.772
2022-02-27 6:00:00,0.0,3.808
2022-02-27 7:00:00,1.71,3.864
2022-02-27 8:00:00,5.825,4.01
2022-02-27 9:00:00,10.79,4.396
2022-02-27 10:00:00,19.576,4.574
2022-02-27 11:00:00,15.092,4.21
2022-02-27 12:00:00,30.617,3.966
2022-02-27 13:00:00,24.226,3.986
2022-02-27 14:00:00,12.843,4.105
2022-02-27 15:00:00,10.273,4.067
2022-02-27 16:00:00,2.306,3.976
2022-02-27 17:00:00,1.156,4.037
2022-02-27 18:00:00,0.0,4.089
2022-02-27 19:00:00,0.0,4.18
2022-02-27 20:00:00,0.0,4.201
2022-02-27 21:00:00,0.0,4.176
2022-02-27 22:00:00,0.0,4.01
2022-02-27 23:00:00,0.0,3.988
