date,Production(W),Consumption(W)
2022-11-26 0:00:00,0.0,6.334
2022-11-26 1:00:00,0.0,6.08
2022-11-26 2:00:00,0.0,6.589
2022-11-26 3:00:00,0.0,6.835
2022-11-26 4:00:00,0.0,6.638
2022-11-26 5:00:00,0.0,6.739
2022-11-26 6:00:00,0.0,6.776
2022-11-26 7:00:00,0.0,6.916
2022-11-26 8:00:00,1.426,7.76
2022-11-26 9:00:00,3.338,8.725
2022-11-26 10:00:00,6.379,8.579
2022-11-26 11:00:00,9.446,9.485
2022-11-26 12:00:00,7.372,8.241
2022-11-26 13:00:00,6.721,7.311
2022-11-26 14:00:00,6.869,7.833
2022-11-26 15:00:00,6.692,7.609
2022-11-26 16:00:00,4.264,7.293
2022-11-26 17:00:00,0.0,7.631
2022-11-26 18:00:00,0.0,7.655
2022-11-26 19:00:00,0.0,7.387
2022-11-26 20:00:00,0.0,7.421
2022-11-26 21:00:00,0.0,7.035
2022-11-26 22:00:00,0.0,6.478
2022-11-26 23:00:00,0.0,6.728
